dataset,variant,patch_id,baseline_dice,dice,boundary_dice,aji,pq,confounder_fpr
cryonuseg,full,Human_AdrenalGland_01,0.7805539225295896,0.8144061953008108,0.6616251761395622,0.4790146701184592,0.2831991078399453,0.3703315548780488
cryonuseg,full,Human_AdrenalGland_02,0.8678194018458034,0.8799745392153098,0.7661038908460989,0.5853460568169354,0.44424139176292154,0.5138633578431373
cryonuseg,full,Human_AdrenalGland_03,0.7266106526187912,0.7028856322711846,0.5798784605002297,0.3529700339315645,0.17801981019495902,0.23038194444444443
cryonuseg,full,Human_Larynx_01,0.7593309722618414,0.7579332371730074,0.5309052682008204,0.15989483747609942,0.1173209403262967,0.6458610372340425
cryonuseg,full,Human_Larynx_02,0.6330613711454547,0.6195708124038237,0.5547639478224671,0.35324566144238273,0.23279681366099136,0.28064903846153844
cryonuseg,full,Human_Larynx_03,0.7954011025020282,0.8228222129709465,0.6928419744617406,0.49540671454818774,0.3302609664046354,0.31421493902439024
cryonuseg,full,Human_Pancreas_01,0.6975463569959753,0.7265703043773556,0.5842991433688517,0.3316230266997869,0.18100195464138988,0.4454900568181818
cryonuseg,full,Human_Pancreas_02,0.7563202421418658,0.7872517540732982,0.710704050343998,0.4265706584230269,0.25958467606852903,0.35841836734693877
cryonuseg,full,Human_Pancreas_03,0.6698161809037829,0.6911359452141947,0.5315721861726543,0.2711973048715044,0.1423957291574132,0.477241847826087
cryonuseg,drop_P,Human_AdrenalGland_01,0.7805539225295896,0.7851502453204212,0.6806052945725711,0.51697811851142,0.29408598279245846,0.2818216463414634
cryonuseg,drop_P,Human_AdrenalGland_02,0.8678194018458034,0.8459556300985805,0.7239401425451857,0.5890533762992756,0.443894372493568,0.4443167892156863
cryonuseg,drop_P,Human_AdrenalGland_03,0.7266106526187912,0.6101260118218672,0.5373432537618541,0.30441565488706507,0.1356159288896997,0.1642361111111111
cryonuseg,drop_P,Human_Larynx_01,0.7593309722618414,0.8080628242566223,0.6180124852373086,0.2407924637150958,0.1757536225793975,0.566156914893617
cryonuseg,drop_P,Human_Larynx_02,0.6330613711454547,0.5045963860180062,0.4990354232500424,0.2676169042260565,0.1394286648902915,0.20092147435897437
cryonuseg,drop_P,Human_Larynx_03,0.7954011025020282,0.7218370348402335,0.6060836893307879,0.478619202514528,0.30829538953485947,0.21646341463414634
cryonuseg,drop_P,Human_Pancreas_01,0.6975463569959753,0.7276217193905385,0.6093297004842201,0.3846193161490366,0.21423921818937114,0.330078125
cryonuseg,drop_P,Human_Pancreas_02,0.7563202421418658,0.775745703310669,0.7157318913483864,0.42700211841271923,0.2544979968093324,0.2911352040816326
cryonuseg,drop_P,Human_Pancreas_03,0.6698161809037829,0.6805001786356835,0.5478948069085334,0.31983477309592967,0.15122647897847408,0.33101222826086957
cryonuseg,drop_H,Human_AdrenalGland_01,0.7805539225295896,0.8054782506033067,0.6357479613624157,0.46776749022131997,0.2672543332723204,0.3931021341463415
cryonuseg,drop_H,Human_AdrenalGland_02,0.8678194018458034,0.8763926902769119,0.7606321644173362,0.5749461171706616,0.44496511828341984,0.5205269607843137
cryonuseg,drop_H,Human_AdrenalGland_03,0.7266106526187912,0.6910942893857628,0.5763904215410831,0.35498689040377557,0.17255236403348817,0.2170138888888889
cryonuseg,drop_H,Human_Larynx_01,0.7593309722618414,0.7655005666004682,0.5394325155436897,0.17521464561226932,0.12952634733220666,0.6370511968085106
cryonuseg,drop_H,Human_Larynx_02,0.6330613711454547,0.6053260467678442,0.544956691813719,0.34502207559070397,0.22666848417461832,0.2676282051282051
cryonuseg,drop_H,Human_Larynx_03,0.7954011025020282,0.8072819292582032,0.6601889387255533,0.42163337628865977,0.27518327494313766,0.3583269817073171
cryonuseg,drop_H,Human_Pancreas_01,0.6975463569959753,0.7192412628299545,0.5683511987144074,0.3202749775690083,0.16343002540057106,0.4641335227272727
cryonuseg,drop_H,Human_Pancreas_02,0.7563202421418658,0.7761985189037597,0.6995571408535564,0.3983358767531429,0.24432022495852576,0.3664700255102041
cryonuseg,drop_H,Human_Pancreas_03,0.6698161809037829,0.6861118727725001,0.517356022660691,0.2615193923583587,0.1416254544746086,0.4995754076086957
cryonuseg,drop_Fb,Human_AdrenalGland_01,0.7805539225295896,0.8202153513209867,0.6666032802477354,0.4833438585412062,0.2854893642601233,0.37014100609756095
cryonuseg,drop_Fb,Human_AdrenalGland_02,0.8678194018458034,0.8791396285524179,0.766410294941645,0.590320715270673,0.45676678769886053,0.5098805147058824
cryonuseg,drop_Fb,Human_AdrenalGland_03,0.7266106526187912,0.6855316495171725,0.5754766875440842,0.35042950985346133,0.17126477905931833,0.21493055555555557
