target,feature,spearman_rho,spearman_abs,spearman_p,n
eval__dice,feat__global_uncertainty__mean_entropy,0.4214191986438103,0.4214191986438103,4.0680823712126325e-23,504
eval__dice,feat__global_uncertainty__max_entropy,0.04496079249065628,0.04496079249065628,0.31375675584520474,504
eval__dice,feat__global_uncertainty__mean_margin_uncertainty,0.397674168795995,0.397674168795995,1.5204302004297072e-20,504
eval__dice,feat__global_uncertainty__max_margin_uncertainty,0.21393571062919967,0.21393571062919967,1.2524808329617591e-06,504
eval__dice,feat__global_uncertainty__foreground_area_frac,0.4756774968865893,0.4756774968865893,8.076791054445778e-30,504
eval__dice,feat__boundary_risk__pred_boundary_area_frac,0.40465545348042936,0.40465545348042936,2.798189891224613e-21,504
eval__dice,feat__boundary_risk__boundary_mean_entropy,0.0314613389253625,0.0314613389253625,0.4809807542119883,504
eval__dice,feat__boundary_risk__boundary_max_entropy,0.045225527933166705,0.045225527933166705,0.31091301430981017,504
eval__dice,feat__boundary_risk__boundary_mean_margin_uncertainty,0.04820160797321953,0.04820160797321953,0.2801135064558266,504
eval__dice,feat__boundary_risk__boundary_high_entropy_frac,-0.4353507621675739,0.4353507621675739,1.0042850255618641e-24,504
eval__dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.17785737276057,0.17785737276057,5.943842447192637e-05,504
eval__dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.30782962276494014,0.30782962276494014,1.5958605838478477e-12,504
eval__dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.36841904750662097,0.36841904750662097,1.19780881567461e-17,504
eval__dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,-0.16108949525762806,0.16108949525762806,0.00028209260488469746,504
eval__dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.3319362554201427,0.3319362554201427,1.9872544627544947e-14,504
eval__dice,feat__topology_risk__component_count,0.20955960716356564,0.20955960716356564,2.0777151780479e-06,504
eval__dice,feat__topology_risk__largest_component_area_frac,0.425445057933717,0.425445057933717,1.420714534773249e-23,504
eval__dice,feat__topology_risk__small_component_count,-0.00804083727036381,0.00804083727036381,0.8570967983500873,504
eval__dice,feat__topology_risk__mean_component_area_frac,0.4991576788108619,0.4991576788108619,4.1039931428877405e-33,504
eval__dice,feat__topology_risk__component_area_cv,0.20527694035924549,0.20527694035924549,3.3747165445356932e-06,504
eval__dice,feat__topology_risk__mean_eccentricity,-0.12061425292490083,0.12061425292490083,0.006708805165396965,504
eval__dice,feat__topology_risk__mean_solidity,-0.2357559435657081,0.2357559435657081,8.544561799854157e-08,504
eval__dice,feat__topology_risk__euler_number,0.1087154020407655,0.1087154020407655,0.014612788747747206,504
eval__dice,feat__topology_risk__threshold_component_count_std,0.28019244316534947,0.28019244316534947,1.5196257448952278e-10,504
eval__dice,feat__topology_risk__threshold_area_frac_std,0.32599537127952893,0.32599537127952893,6.076022289249196e-14,504
eval__dice,feat__topology_risk__threshold_euler_std,0.26025566384530335,0.26025566384530335,3.0160842923805084e-09,504
eval__dice,feat__anatomical_topological_consistency__opening_residual_frac,0.17137065345187782,0.17137065345187782,0.0001104775694157195,504
eval__dice,feat__anatomical_topological_consistency__closing_residual_frac,0.33626598369127403,0.33626598369127403,8.665787206967889e-15,504
eval__boundary_dice,feat__global_uncertainty__mean_entropy,0.29194251372326224,0.29194251372326224,2.325468356120856e-11,504
eval__boundary_dice,feat__global_uncertainty__max_entropy,0.0366341314077644,0.0366341314077644,0.41183562459946826,504
eval__boundary_dice,feat__global_uncertainty__mean_margin_uncertainty,0.26309701277114267,0.26309701277114267,1.9996616542561145e-09,504
eval__boundary_dice,feat__global_uncertainty__max_margin_uncertainty,0.11057511793861065,0.11057511793861065,0.012996600895477769,504
eval__boundary_dice,feat__global_uncertainty__foreground_area_frac,0.2679679860934567,0.2679679860934567,9.772697641707278e-10,504
eval__boundary_dice,feat__boundary_risk__pred_boundary_area_frac,0.2618480862706416,0.2618480862706416,2.3970260516979672e-09,504
eval__boundary_dice,feat__boundary_risk__boundary_mean_entropy,-0.14971421704823829,0.14971421704823829,0.0007469156574807634,504
eval__boundary_dice,feat__boundary_risk__boundary_max_entropy,0.036898680004277394,0.036898680004277394,0.408464962661199,504
eval__boundary_dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.12976049497108208,0.12976049497108208,0.0035202493116123614,504
eval__boundary_dice,feat__boundary_risk__boundary_high_entropy_frac,-0.3049629754715093,0.3049629754715093,2.6195736629962292e-12,504
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.05570229738873175,0.05570229738873175,0.2118927181486941,504
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.14518839689053534,0.14518839689053534,0.0010803743266516136,504
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.27703732683320603,0.27703732683320603,2.4786080311808374e-10,504
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,-0.2805934887488475,0.2805934887488475,1.4273675877408934e-10,504
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.1988814693437114,0.1988814693437114,6.833496105214387e-06,504
eval__boundary_dice,feat__topology_risk__component_count,0.22827794261279266,0.22827794261279266,2.2110082874985365e-07,504
eval__boundary_dice,feat__topology_risk__largest_component_area_frac,0.11931058142479013,0.11931058142479013,0.007330402035243505,504
eval__boundary_dice,feat__topology_risk__small_component_count,-0.0439674469665569,0.0439674469665569,0.32457874373959605,504
eval__boundary_dice,feat__topology_risk__mean_component_area_frac,0.13773490434163918,0.13773490434163918,0.001940134188268796,504
eval__boundary_dice,feat__topology_risk__component_area_cv,-0.073209901608648,0.073209901608648,0.10065617084026675,504
eval__boundary_dice,feat__topology_risk__mean_eccentricity,-0.18870233104723702,0.18870233104723702,2.0061351551794345e-05,504
eval__boundary_dice,feat__topology_risk__mean_solidity,0.030163979325973297,0.030163979325973297,0.4992616322303377,504
eval__boundary_dice,feat__topology_risk__euler_number,0.20599332476222193,0.20599332476222193,3.113918506651981e-06,504
eval__boundary_dice,feat__topology_risk__threshold_component_count_std,0.1937252822297989,0.1937252822297989,1.1874325259437322e-05,504
eval__boundary_dice,feat__topology_risk__threshold_area_frac_std,0.194814421414176,0.194814421414176,1.057897719694697e-05,504
eval__boundary_dice,feat__topology_risk__threshold_euler_std,0.1977635195821517,0.1977635195821517,7.712677572341926e-06,504
eval__boundary_dice,feat__anatomical_topological_consistency__opening_residual_frac,0.024023549741728236,0.024023549741728236,0.590531576118632,504
eval__boundary_dice,feat__anatomical_topological_consistency__closing_residual_frac,0.0773566995175016,0.0773566995175016,0.08275108394333466,504
eval__error_area_frac,feat__global_uncertainty__mean_entropy,0.785792624651833,0.785792624651833,8.027095522012376e-107,504
eval__error_area_frac,feat__global_uncertainty__max_entropy,0.2699423403690808,0.2699423403690808,7.280911351016662e-10,504
eval__error_area_frac,feat__global_uncertainty__mean_margin_uncertainty,0.8078351133530272,0.8078351133530272,2.4696612970066525e-117,504
eval__error_area_frac,feat__global_uncertainty__max_margin_uncertainty,0.4691282572962647,0.4691282572962647,6.04585885202056e-29,504
eval__error_area_frac,feat__global_uncertainty__foreground_area_frac,0.7612681171903113,0.7612681171903113,1.6862477425337015e-96,504
