target,feature,spearman_rho,spearman_abs,spearman_p,n
eval__dice,feat__global_uncertainty__mean_entropy,-0.10429880197322057,0.10429880197322057,0.5004611851956231,44
eval__dice,feat__global_uncertainty__max_entropy,,,,44
eval__dice,feat__global_uncertainty__mean_margin_uncertainty,-0.13587033121916844,0.13587033121916844,0.379182261910395,44
eval__dice,feat__global_uncertainty__max_margin_uncertainty,,,,44
eval__dice,feat__global_uncertainty__foreground_area_frac,0.4875264270613108,0.4875264270613108,0.00078912861635743,44
eval__dice,feat__global_uncertainty__mean_cached_uncertainty,0.5289640591966173,0.5289640591966173,0.00022295179485765462,44
eval__dice,feat__global_uncertainty__max_cached_uncertainty,0.4464336102996302,0.4464336102996302,0.0023846679380664453,44
eval__dice,feat__boundary_risk__pred_boundary_area_frac,0.258491895701198,0.258491895701198,0.09022559764191775,44
eval__dice,feat__boundary_risk__boundary_mean_entropy,0.2641296687808316,0.2641296687808316,0.08318176725696574,44
eval__dice,feat__boundary_risk__boundary_max_entropy,-0.006004625342957236,0.006004625342957236,0.9691424531583066,44
eval__dice,feat__boundary_risk__boundary_mean_margin_uncertainty,0.2335447498238196,0.2335447498238196,0.12707225449043172,44
eval__dice,feat__boundary_risk__boundary_high_entropy_frac,0.25792811839323465,0.25792811839323465,0.09095466890885211,44
eval__dice,feat__boundary_risk__boundary_mean_cached_uncertainty,0.2683579985905567,0.2683579985905567,0.07818651621482506,44
eval__dice,feat__boundary_risk__boundary_max_cached_uncertainty,-0.054617851261929355,0.054617851261929355,0.7247430032594631,44
eval__dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.4094432699083862,0.4094432699083862,0.005782097137744426,44
eval__dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.39127371002388195,0.39127371002388195,0.008631270736292718,44
eval__dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.08582776938834777,0.08582776938834777,0.5796122474081833,44
eval__dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.129245947850599,0.129245947850599,0.40306766653433945,44
eval__dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.30155532565656995,0.30155532565656995,0.04666991803504272,44
eval__dice,feat__topology_risk__component_count,-0.4950475340967444,0.4950475340967444,0.0006347662442740423,44
eval__dice,feat__topology_risk__largest_component_area_frac,0.4807610993657505,0.4807610993657505,0.0009557849462558441,44
eval__dice,feat__topology_risk__small_component_count,-0.46664570534915184,0.46664570534915184,0.0014079959831573528,44
eval__dice,feat__topology_risk__mean_component_area_frac,0.6911909795630726,0.6911909795630726,2.0580295463299008e-07,44
eval__dice,feat__topology_risk__component_area_cv,-0.4669529878670532,0.4669529878670532,0.0013964149802551443,44
eval__dice,feat__topology_risk__euler_number,-0.009843613018448756,0.009843613018448756,0.9494345453902767,44
eval__dice,feat__topology_risk__threshold_component_count_std,0.23657709756637868,0.23657709756637868,0.122071079556237,44
eval__dice,feat__topology_risk__threshold_area_frac_std,-0.1533474277660324,0.1533474277660324,0.3203191062115146,44
eval__dice,feat__topology_risk__threshold_euler_std,-0.11076626219050935,0.11076626219050935,0.47411763283984365,44
eval__dice,feat__anatomical_topological_consistency__opening_residual_frac,-0.23570044418793992,0.23570044418793992,0.1235014298733095,44
eval__dice,feat__anatomical_topological_consistency__closing_residual_frac,-0.13468654267041882,0.13468654267041882,0.38338785506439105,44
eval__boundary_dice,feat__global_uncertainty__mean_entropy,-0.23255813953488372,0.23255813953488372,0.1287321279745981,44
eval__boundary_dice,feat__global_uncertainty__max_entropy,,,,44
eval__boundary_dice,feat__global_uncertainty__mean_margin_uncertainty,-0.26145172656800564,0.26145172656800564,0.08647206212776602,44
eval__boundary_dice,feat__global_uncertainty__max_margin_uncertainty,,,,44
eval__boundary_dice,feat__global_uncertainty__foreground_area_frac,0.33051444679351655,0.33051444679351655,0.028432881046875073,44
eval__boundary_dice,feat__global_uncertainty__mean_cached_uncertainty,0.6136715997181112,0.6136715997181112,9.43885036384917e-06,44
eval__boundary_dice,feat__global_uncertainty__max_cached_uncertainty,0.5519453113761296,0.5519453113761296,0.00010278695314461815,44
eval__boundary_dice,feat__boundary_risk__pred_boundary_area_frac,0.14249471458773785,0.14249471458773785,0.35615697593092066,44
eval__boundary_dice,feat__boundary_risk__boundary_mean_entropy,0.42593375616631424,0.42593375616631424,0.00394297556760021,44
eval__boundary_dice,feat__boundary_risk__boundary_max_entropy,-0.006004625342957236,0.006004625342957236,0.9691424531583066,44
eval__boundary_dice,feat__boundary_risk__boundary_mean_margin_uncertainty,0.38604651162790693,0.38604651162790693,0.009647418680095133,44
eval__boundary_dice,feat__boundary_risk__boundary_high_entropy_frac,0.4014094432699084,0.4014094432699084,0.0069211375012040235,44
eval__boundary_dice,feat__boundary_risk__boundary_mean_cached_uncertainty,0.19083861874559546,0.19083861874559546,0.21465018690712945,44
eval__boundary_dice,feat__boundary_risk__boundary_max_cached_uncertainty,-0.21797808252019035,0.21797808252019035,0.15519015272492984,44
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.4225510923185341,0.4225510923185341,0.004271664002219841,44
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.500810612451753,0.500810612451753,0.00053542508307569,44
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.07990122624422726,0.07990122624422726,0.6061530990779298,44
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.10909090909090909,0.10909090909090909,0.4808704177534206,44
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.2848063331475084,0.2848063331475084,0.06095527877960873,44
eval__boundary_dice,feat__topology_risk__component_count,-0.5093925380117387,0.5093925380117387,0.00041322779677771684,44
eval__boundary_dice,feat__topology_risk__largest_component_area_frac,0.319661733615222,0.319661733615222,0.03441269429131311,44
eval__boundary_dice,feat__topology_risk__small_component_count,-0.4970917580650183,0.4970917580650183,0.000597783367190881,44
eval__boundary_dice,feat__topology_risk__mean_component_area_frac,0.5774489076814657,0.5774489076814657,4.062515926893605e-05,44
eval__boundary_dice,feat__topology_risk__component_area_cv,-0.5073637638419969,0.5073637638419969,0.00043959663145565566,44
eval__boundary_dice,feat__topology_risk__euler_number,-0.10056065097983624,0.10056065097983624,0.5160214908136347,44
