label,feature,auc_raw,auc_directional,positives,negatives,mannwhitney_u,mannwhitney_p
bad_dice_lt_0.65,feat__global_uncertainty__mean_entropy,,,0,44,,
bad_dice_lt_0.65,feat__global_uncertainty__max_entropy,,,0,44,,
bad_dice_lt_0.65,feat__global_uncertainty__mean_margin_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__global_uncertainty__max_margin_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__global_uncertainty__foreground_area_frac,,,0,44,,
bad_dice_lt_0.65,feat__global_uncertainty__mean_cached_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__global_uncertainty__max_cached_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__pred_boundary_area_frac,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_entropy,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__boundary_max_entropy,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_margin_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__boundary_high_entropy_frac,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_cached_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__boundary_risk__boundary_max_cached_uncertainty,,,0,44,,
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_area_frac,,,0,44,,
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_threshold,,,0,44,,
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_component_count,,,0,44,,
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,,,0,44,,
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_small_component_count,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__component_count,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__largest_component_area_frac,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__small_component_count,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__mean_component_area_frac,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__component_area_cv,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__euler_number,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__threshold_component_count_std,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__threshold_area_frac_std,,,0,44,,
bad_dice_lt_0.65,feat__topology_risk__threshold_euler_std,,,0,44,,
bad_dice_lt_0.65,feat__anatomical_topological_consistency__opening_residual_frac,,,0,44,,
bad_dice_lt_0.65,feat__anatomical_topological_consistency__closing_residual_frac,,,0,44,,
low_boundary_dice_lt_median,feat__global_uncertainty__mean_entropy,0.6384297520661157,0.6384297520661157,22,22,309.0,0.11854035019842724
low_boundary_dice_lt_median,feat__global_uncertainty__max_entropy,0.5,0.5,22,22,242.0,1.0
low_boundary_dice_lt_median,feat__global_uncertainty__mean_margin_uncertainty,0.6549586776859504,0.6549586776859504,22,22,317.0,0.0803410460375557
low_boundary_dice_lt_median,feat__global_uncertainty__max_margin_uncertainty,0.5,0.5,22,22,242.0,1.0
low_boundary_dice_lt_median,feat__global_uncertainty__foreground_area_frac,0.31404958677685957,0.6859504132231404,22,22,152.0,0.035658521411834
low_boundary_dice_lt_median,feat__global_uncertainty__mean_cached_uncertainty,0.16115702479338842,0.8388429752066116,22,22,78.0,0.00012415446060163376
low_boundary_dice_lt_median,feat__global_uncertainty__max_cached_uncertainty,0.18285123966942146,0.8171487603305785,22,22,88.5,0.00032837901639178437
low_boundary_dice_lt_median,feat__boundary_risk__pred_boundary_area_frac,0.4152892561983471,0.5847107438016529,22,22,201.0,0.3417864618150275
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_entropy,0.34917355371900827,0.6508264462809917,22,22,169.0,0.0887993531887523
low_boundary_dice_lt_median,feat__boundary_risk__boundary_max_entropy,0.5227272727272727,0.5227272727272727,22,22,253.0,0.3398076122846837
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_margin_uncertainty,0.3760330578512397,0.6239669421487604,22,22,182.0,0.16252749146067402
low_boundary_dice_lt_median,feat__boundary_risk__boundary_high_entropy_frac,0.3326446280991735,0.6673553719008265,22,22,161.0,0.058818648810286464
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_cached_uncertainty,0.33884297520661155,0.6611570247933884,22,22,164.0,0.06889182159572906
low_boundary_dice_lt_median,feat__boundary_risk__boundary_max_cached_uncertainty,0.5351239669421487,0.5351239669421487,22,22,259.0,0.6985252559391442
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_area_frac,0.19421487603305781,0.8057851239669422,22,22,94.0,0.0005357541958626619
