target,feature,spearman_rho,spearman_abs,spearman_p,n
eval__dice,feat__global_uncertainty__mean_entropy,-0.048299006382838724,0.048299006382838724,0.5341288206035809,168
eval__dice,feat__global_uncertainty__max_entropy,,,,168
eval__dice,feat__global_uncertainty__mean_margin_uncertainty,0.006081665915843715,0.006081665915843715,0.9376374700693478,168
eval__dice,feat__global_uncertainty__max_margin_uncertainty,0.12376198472714064,0.12376198472714064,0.10997333168919121,168
eval__dice,feat__global_uncertainty__foreground_area_frac,0.47927728650897705,0.47927728650897705,4.952493277243511e-11,168
eval__dice,feat__boundary_risk__pred_boundary_area_frac,0.4339546834755148,0.4339546834755148,4.191464318099648e-09,168
eval__dice,feat__boundary_risk__boundary_mean_entropy,-0.6207095529988208,0.6207095529988208,2.8478060570156425e-19,168
eval__dice,feat__boundary_risk__boundary_max_entropy,,,,168
eval__dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.5579137582822522,0.5579137582822522,3.956434986129114e-15,168
eval__dice,feat__boundary_risk__boundary_high_entropy_frac,-0.35599637580291665,0.35599637580291665,2.1811313922467595e-06,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.1516102487521166,0.1516102487521166,0.04978842268089883,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.21665228275891457,0.21665228275891457,0.004791141359056205,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_component_count,-0.2950651539224619,0.2950651539224619,0.0001032883909358263,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.24523611423120004,0.24523611423120004,0.00135550579896418,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.025411550709737562,0.025411550709737562,0.743694324804141,168
eval__dice,feat__topology_risk__component_count,-0.0380660787977308,0.0380660787977308,0.6242140878972977,168
eval__dice,feat__topology_risk__largest_component_area_frac,0.1855702065219157,0.1855702065219157,0.016028653820628038,168
eval__dice,feat__topology_risk__small_component_count,-0.32226189992039755,0.32226189992039755,2.044113981055835e-05,168
eval__dice,feat__topology_risk__mean_component_area_frac,0.40679587570421294,0.40679587570421294,4.4544381769040666e-08,168
eval__dice,feat__topology_risk__component_area_cv,0.0193585778569657,0.0193585778569657,0.8033098581004863,168
eval__dice,feat__topology_risk__mean_eccentricity,-0.07067690485470311,0.07067690485470311,0.3626237332393396,168
eval__dice,feat__topology_risk__mean_solidity,-0.05695456086980732,0.05695456086980732,0.46337582427294755,168
eval__dice,feat__topology_risk__euler_number,-0.043550840367746035,0.043550840367746035,0.5751145821079008,168
eval__dice,feat__topology_risk__threshold_component_count_std,0.415817746911057,0.415817746911057,2.0790021233008937e-08,168
eval__dice,feat__topology_risk__threshold_area_frac_std,0.24944953710499543,0.24944953710499543,0.0011109824192277718,168
eval__dice,feat__topology_risk__threshold_euler_std,0.4111437757976896,0.4111437757976896,3.094021154371239e-08,168
eval__dice,feat__anatomical_topological_consistency__opening_residual_frac,-0.3004687227994079,0.3004687227994079,7.58083633632614e-05,168
eval__dice,feat__anatomical_topological_consistency__closing_residual_frac,0.07849344761035254,0.07849344761035254,0.31184568565767173,168
eval__boundary_dice,feat__global_uncertainty__mean_entropy,-0.012127899737296331,0.012127899737296331,0.8760112268070923,168
eval__boundary_dice,feat__global_uncertainty__max_entropy,,,,168
eval__boundary_dice,feat__global_uncertainty__mean_margin_uncertainty,0.04288042680488559,0.04288042680488559,0.5810180989029291,168
eval__boundary_dice,feat__global_uncertainty__max_margin_uncertainty,0.06287437843730045,0.06287437843730045,0.4181343834276898,168
eval__boundary_dice,feat__global_uncertainty__foreground_area_frac,0.43639685970409153,0.43639685970409153,3.353875265757758e-09,168
eval__boundary_dice,feat__boundary_risk__pred_boundary_area_frac,0.4459522816781497,0.4459522816781497,1.3780918699867457e-09,168
eval__boundary_dice,feat__boundary_risk__boundary_mean_entropy,-0.5826073972089635,0.5826073972089635,1.1861792134192963e-16,168
eval__boundary_dice,feat__boundary_risk__boundary_max_entropy,,,,168
eval__boundary_dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.5069573448200809,0.5069573448200809,2.34894702181134e-12,168
eval__boundary_dice,feat__boundary_risk__boundary_high_entropy_frac,-0.3742312500949075,0.3742312500949075,5.817844512560661e-07,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.003928114132106555,0.003928114132106555,0.9596966623223864,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.2526492153159517,0.2526492153159517,0.0009530637494912959,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_component_count,-0.422673982185242,0.422673982185242,1.147506310718594e-08,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.37573656187883453,0.37573656187883453,5.197477166725079e-07,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,-0.0017522557271496032,0.0017522557271496032,0.9820153871640485,168
eval__boundary_dice,feat__topology_risk__component_count,0.08896028671411083,0.08896028671411083,0.2514959401441261,168
eval__boundary_dice,feat__topology_risk__largest_component_area_frac,0.1622051528670304,0.1622051528670304,0.03567134314082266,168
eval__boundary_dice,feat__topology_risk__small_component_count,-0.2537811175172473,0.2537811175172473,0.0009023269865146055,168
eval__boundary_dice,feat__topology_risk__mean_component_area_frac,0.32767347806500274,0.32767347806500274,1.4527279397345985e-05,168
eval__boundary_dice,feat__topology_risk__component_area_cv,0.034290674778929046,0.034290674778929046,0.6590179744483555,168
eval__boundary_dice,feat__topology_risk__mean_eccentricity,-0.0441990068890115,0.0441990068890115,0.5694338276470832,168
eval__boundary_dice,feat__topology_risk__mean_solidity,-0.16008220245898738,0.16008220245898738,0.0381910851220274,168
eval__boundary_dice,feat__topology_risk__euler_number,0.08421054374833176,0.08421054374833176,0.2778006747852055,168
eval__boundary_dice,feat__topology_risk__threshold_component_count_std,0.5661577556246333,0.5661577556246333,1.2672581112489056e-15,168
eval__boundary_dice,feat__topology_risk__threshold_area_frac_std,0.29878366681683133,0.29878366681683133,8.353975729680617e-05,168
eval__boundary_dice,feat__topology_risk__threshold_euler_std,0.5464741403902654,0.5464741403902654,1.8247314356336746e-14,168
eval__boundary_dice,feat__anatomical_topological_consistency__opening_residual_frac,-0.18747216562157637,0.18747216562157637,0.014958175072546877,168
eval__boundary_dice,feat__anatomical_topological_consistency__closing_residual_frac,0.1380446978257363,0.1380446978257363,0.07434922300290922,168
eval__error_area_frac,feat__global_uncertainty__mean_entropy,0.6538575184211566,0.6538575184211566,7.342626872896204e-22,168
eval__error_area_frac,feat__global_uncertainty__max_entropy,,,,168
eval__error_area_frac,feat__global_uncertainty__mean_margin_uncertainty,0.6428621594015954,0.6428621594015954,5.75159228426624e-21,168
eval__error_area_frac,feat__global_uncertainty__max_margin_uncertainty,0.11641684332798521,0.11641684332798521,0.13289488195061144,168
eval__error_area_frac,feat__global_uncertainty__foreground_area_frac,0.5087805325589605,0.5087805325589605,1.9029367315448934e-12,168
eval__error_area_frac,feat__boundary_risk__pred_boundary_area_frac,0.5156648613083699,0.5156648613083699,8.495259861178491e-13,168
eval__error_area_frac,feat__boundary_risk__boundary_mean_entropy,0.04006744765063514,0.04006744765063514,0.6060896299778178,168
eval__error_area_frac,feat__boundary_risk__boundary_max_entropy,,,,168
eval__error_area_frac,feat__boundary_risk__boundary_mean_margin_uncertainty,0.08246582536388186,0.08246582536388186,0.28791340270835064,168
eval__error_area_frac,feat__boundary_risk__boundary_high_entropy_frac,-0.5524392828793522,0.5524392828793522,8.282728424404303e-15,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_area_frac,0.2751023349604243,0.2751023349604243,0.00030737747422593126,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,0.5960840639017626,0.5960840639017626,1.538626157867969e-17,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_component_count,0.002394301974056782,0.002394301974056782,0.9754274103499863,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.3267269098920456,0.3267269098920456,1.5428798475396613e-05,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.3748784043128177,0.3748784043128177,5.542933448445582e-07,168
eval__error_area_frac,feat__topology_risk__component_count,-0.05366148426659994,0.05366148426659994,0.4896677222614902,168
eval__error_area_frac,feat__topology_risk__largest_component_area_frac,0.4483874172186917,0.4483874172186917,1.093742685716962e-09,168
eval__error_area_frac,feat__topology_risk__small_component_count,0.02636840662906031,0.02636840662906031,0.7343981202715821,168
eval__error_area_frac,feat__topology_risk__mean_component_area_frac,0.38366324261292734,0.38366324261292734,2.8433411034644107e-07,168
eval__error_area_frac,feat__topology_risk__component_area_cv,0.34040563497974935,0.34040563497974935,6.337831414244008e-06,168
eval__error_area_frac,feat__topology_risk__mean_eccentricity,0.18159615561078848,0.18159615561078848,0.01848267711751515,168
eval__error_area_frac,feat__topology_risk__mean_solidity,-0.3573738441054597,0.3573738441054597,1.9794871383553574e-06,168
eval__error_area_frac,feat__topology_risk__euler_number,-0.07450934256545054,0.07450934256545054,0.3371175668417748,168
eval__error_area_frac,feat__topology_risk__threshold_component_count_std,0.28858405353174343,0.28858405353174343,0.0001484890231208681,168
eval__error_area_frac,feat__topology_risk__threshold_area_frac_std,0.5582944475914606,0.5582944475914606,3.7564009029164605e-15,168
eval__error_area_frac,feat__topology_risk__threshold_euler_std,0.31901123723713365,0.31901123723713365,2.5017659620803915e-05,168
eval__error_area_frac,feat__anatomical_topological_consistency__opening_residual_frac,0.11013139363889876,0.11013139363889876,0.15527747692721616,168
eval__error_area_frac,feat__anatomical_topological_consistency__closing_residual_frac,0.44329396687226863,0.44329396687226863,1.7698664622363622e-09,168
