label,feature,auc_raw,auc_directional,positives,negatives,mannwhitney_u,mannwhitney_p
bad_dice_lt_0.65,feat__global_uncertainty__mean_entropy,0.7749911691981632,0.7749911691981632,19,149,2194.0,9.765695962848993e-05
bad_dice_lt_0.65,feat__global_uncertainty__max_entropy,0.5,0.5,19,149,1415.5,1.0
bad_dice_lt_0.65,feat__global_uncertainty__mean_margin_uncertainty,0.751324620275521,0.751324620275521,19,149,2127.0,0.000369734065679667
bad_dice_lt_0.65,feat__global_uncertainty__max_margin_uncertainty,0.4747439067467326,0.5252560932532674,19,149,1344.0,0.7221502318487235
bad_dice_lt_0.65,feat__global_uncertainty__foreground_area_frac,0.32462027552101735,0.6753797244789826,19,149,919.0,0.012990032349867082
bad_dice_lt_0.65,feat__boundary_risk__pred_boundary_area_frac,0.3542917696926881,0.6457082303073118,19,149,1003.0,0.03907802290033024
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_entropy,0.9357117626280467,0.9357117626280467,19,149,2649.0,6.614292714304031e-10
bad_dice_lt_0.65,feat__boundary_risk__boundary_max_entropy,0.5,0.5,19,149,1415.5,1.0
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_margin_uncertainty,0.9381843871423525,0.9381843871423525,19,149,2656.0,5.294883426516357e-10
bad_dice_lt_0.65,feat__boundary_risk__boundary_high_entropy_frac,0.548216178028965,0.548216178028965,19,149,1552.0,0.49580289436932634
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_area_frac,0.47986577181208057,0.5201342281879194,19,149,1358.5,0.3787957794467699
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_threshold,0.5867184740374426,0.5867184740374426,19,149,1661.0,0.21981796806033338
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_component_count,0.751324620275521,0.751324620275521,19,149,2127.0,0.0003616442056082644
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.39244083362769333,0.6075591663723067,19,149,1111.0,0.12788872330306245
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.6266336983398092,0.6266336983398092,19,149,1774.0,0.06955195880703295
bad_dice_lt_0.65,feat__topology_risk__component_count,0.6400565171317555,0.6400565171317555,19,149,1812.0,0.04696364261992862
bad_dice_lt_0.65,feat__topology_risk__largest_component_area_frac,0.47615683504062173,0.5238431649593782,19,149,1348.0,0.7372119275093216
bad_dice_lt_0.65,feat__topology_risk__small_component_count,0.8196750264924054,0.8196750264924054,19,149,2320.5,4.1047366459649295e-06
bad_dice_lt_0.65,feat__topology_risk__mean_component_area_frac,0.2751677852348993,0.7248322147651007,19,149,779.0,0.0014466226775113335
bad_dice_lt_0.65,feat__topology_risk__component_area_cv,0.6418226774991169,0.6418226774991169,19,149,1817.0,0.04461480056393834
bad_dice_lt_0.65,feat__topology_risk__mean_eccentricity,0.5683504062168845,0.5683504062168845,19,149,1609.0,0.3337575535503634
bad_dice_lt_0.65,feat__topology_risk__mean_solidity,0.46202755210173085,0.5379724478982691,19,149,1308.0,0.5920469756748563
bad_dice_lt_0.65,feat__topology_risk__euler_number,0.6329918756623101,0.6329918756623101,19,149,1792.0,0.05927852110605744
bad_dice_lt_0.65,feat__topology_risk__threshold_component_count_std,0.3751324620275521,0.6248675379724479,19,149,1062.0,0.07701357751477324
bad_dice_lt_0.65,feat__topology_risk__threshold_area_frac_std,0.5743553514659131,0.5743553514659131,19,149,1626.0,0.29293192429467974
bad_dice_lt_0.65,feat__topology_risk__threshold_euler_std,0.37884139879901096,0.6211586012009891,19,149,1072.5,0.08622419373284923
bad_dice_lt_0.65,feat__anatomical_topological_consistency__opening_residual_frac,0.8421052631578947,0.8421052631578947,19,149,2384.0,1.2035139743392383e-06
bad_dice_lt_0.65,feat__anatomical_topological_consistency__closing_residual_frac,0.6160367361356411,0.6160367361356411,19,149,1744.0,0.10026981408467088
low_boundary_dice_lt_median,feat__global_uncertainty__mean_entropy,0.43013038548752835,0.5698696145124716,84,84,3035.0,0.11820904227382026
low_boundary_dice_lt_median,feat__global_uncertainty__max_entropy,0.5,0.5,84,84,3528.0,1.0
low_boundary_dice_lt_median,feat__global_uncertainty__mean_margin_uncertainty,0.40107709750566894,0.598922902494331,84,84,2830.0,0.026921969743707152
low_boundary_dice_lt_median,feat__global_uncertainty__max_margin_uncertainty,0.4316184807256236,0.5683815192743764,84,84,3045.5,0.12624947153039115
low_boundary_dice_lt_median,feat__global_uncertainty__foreground_area_frac,0.2274659863945578,0.7725340136054422,84,84,1605.0,1.0696213824095166e-09
low_boundary_dice_lt_median,feat__boundary_risk__pred_boundary_area_frac,0.22626133786848074,0.7737386621315192,84,84,1596.5,9.031851416768001e-10
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_entropy,0.7631802721088434,0.7631802721088434,84,84,5385.0,3.878583830156042e-09
low_boundary_dice_lt_median,feat__boundary_risk__boundary_max_entropy,0.5,0.5,84,84,3528.0,1.0
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_margin_uncertainty,0.7162698412698412,0.7162698412698412,84,84,5054.0,1.3031440030733826e-06
low_boundary_dice_lt_median,feat__boundary_risk__boundary_high_entropy_frac,0.7434807256235828,0.7434807256235828,84,84,5246.0,5.084020262424643e-08
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_area_frac,0.4993622448979592,0.5006377551020408,84,84,3523.5,0.9685174383642566
