target,feature,spearman_rho,spearman_abs,spearman_p,n
eval__dice,feat__global_uncertainty__mean_entropy,0.35563193140346533,0.35563193140346533,2.2376656260401098e-06,168
eval__dice,feat__global_uncertainty__max_entropy,,,,168
eval__dice,feat__global_uncertainty__mean_margin_uncertainty,0.45726889416433414,0.45726889416433414,4.6355319553713783e-10,168
eval__dice,feat__global_uncertainty__max_margin_uncertainty,0.12623548786900557,0.12623548786900557,0.10299325623192436,168
eval__dice,feat__global_uncertainty__foreground_area_frac,0.755779227681577,0.755779227681577,2.4427296866487823e-32,168
eval__dice,feat__boundary_risk__pred_boundary_area_frac,0.7121501157556027,0.7121501157556027,2.697358955650986e-27,168
eval__dice,feat__boundary_risk__boundary_mean_entropy,-0.6146936895439891,0.6146936895439891,7.794807137562229e-19,168
eval__dice,feat__boundary_risk__boundary_max_entropy,,,,168
eval__dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.3913955689635101,0.3913955689635101,1.5543526750580112e-07,168
eval__dice,feat__boundary_risk__boundary_high_entropy_frac,-0.6811491134383812,0.6811491134383812,3.0070657106188854e-24,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.2568866070305644,0.2568866070305644,0.0007755924443867634,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.6202162904142856,0.6202162904142856,3.095427001627638e-19,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.1270070395583512,0.1270070395583512,0.10088892658017727,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.5003059203133937,0.5003059203133937,5.011204417241278e-12,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.33047929450419267,0.33047929450419267,1.2138500184521368e-05,168
eval__dice,feat__topology_risk__component_count,0.5124679239425524,0.5124679239425524,1.238231696924175e-12,168
eval__dice,feat__topology_risk__largest_component_area_frac,0.522030848524392,0.522030848524392,3.9648090920957464e-13,168
eval__dice,feat__topology_risk__small_component_count,-0.15091187333554182,0.15091187333554182,0.05086281892575599,168
eval__dice,feat__topology_risk__mean_component_area_frac,0.5575062891967546,0.5575062891967546,4.182051377726227e-15,168
eval__dice,feat__topology_risk__component_area_cv,0.14842251254043057,0.14842251254043057,0.054850192642722916,168
eval__dice,feat__topology_risk__mean_eccentricity,-0.012823887305692928,0.012823887305692928,0.8689578555402251,168
eval__dice,feat__topology_risk__mean_solidity,-0.1671762139288625,0.1671762139288625,0.030315792637628902,168
eval__dice,feat__topology_risk__euler_number,0.4980296664120325,0.4980296664120325,6.4704386847855685e-12,168
eval__dice,feat__topology_risk__threshold_component_count_std,0.6777682862060636,0.6777682862060636,6.135937629503666e-24,168
eval__dice,feat__topology_risk__threshold_area_frac_std,0.6313315887244954,0.6313315887244954,4.559791651019155e-20,168
eval__dice,feat__topology_risk__threshold_euler_std,0.6780392600017322,0.6780392600017322,5.797059996152971e-24,168
eval__dice,feat__anatomical_topological_consistency__opening_residual_frac,0.08575119557478766,0.08575119557478766,0.26907235376135924,168
eval__dice,feat__anatomical_topological_consistency__closing_residual_frac,0.30852759728851803,0.30852759728851803,4.724985914850641e-05,168
eval__boundary_dice,feat__global_uncertainty__mean_entropy,0.4362779091014927,0.4362779091014927,3.3906302027192652e-09,168
eval__boundary_dice,feat__global_uncertainty__max_entropy,,,,168
eval__boundary_dice,feat__global_uncertainty__mean_margin_uncertainty,0.5218717256948489,0.5218717256948489,4.041838570152244e-13,168
eval__boundary_dice,feat__global_uncertainty__max_margin_uncertainty,0.13950345168601094,0.13950345168601094,0.07130960682294127,168
eval__boundary_dice,feat__global_uncertainty__foreground_area_frac,0.6841583105977395,0.6841583105977395,1.5809986605670064e-24,168
eval__boundary_dice,feat__boundary_risk__pred_boundary_area_frac,0.6816772298666269,0.6816772298666269,2.6877130167366767e-24,168
eval__boundary_dice,feat__boundary_risk__boundary_mean_entropy,-0.5451885746680772,0.5451885746680772,2.158931616421365e-14,168
eval__boundary_dice,feat__boundary_risk__boundary_max_entropy,,,,168
eval__boundary_dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.2999377407484271,0.2999377407484271,7.81691349573332e-05,168
eval__boundary_dice,feat__boundary_risk__boundary_high_entropy_frac,-0.6842317056504068,0.6842317056504068,1.5562504881489438e-24,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_area_frac,0.2524695894909776,0.2524695894909776,0.00096135196504596,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_threshold,0.6488179451163228,0.6488179451163228,1.9060714396177394e-21,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.1426912120805938,0.1426912120805938,0.06501801094601585,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.541707345327225,0.541707345327225,3.3921149577659683e-14,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.4285520179420339,0.4285520179420339,6.820957847712402e-09,168
eval__boundary_dice,feat__topology_risk__component_count,0.5438156419803489,0.5438156419803489,2.5816624478540932e-14,168
eval__boundary_dice,feat__topology_risk__largest_component_area_frac,0.5336642956069207,0.5336642956069207,9.447142483565637e-14,168
eval__boundary_dice,feat__topology_risk__small_component_count,-0.0495154864914306,0.0495154864914306,0.5238685463036998,168
eval__boundary_dice,feat__topology_risk__mean_component_area_frac,0.43237025526293155,0.43237025526293155,4.839168194689943e-09,168
eval__boundary_dice,feat__topology_risk__component_area_cv,0.2819458293894038,0.2819458293894038,0.0002134399311130295,168
eval__boundary_dice,feat__topology_risk__mean_eccentricity,-0.03121820602244371,0.03121820602244371,0.6878966478767498,168
eval__boundary_dice,feat__topology_risk__mean_solidity,-0.27890120013565434,0.27890120013565434,0.0002513336182143556,168
eval__boundary_dice,feat__topology_risk__euler_number,0.5290207240624207,0.5290207240624207,1.6857796628544693e-13,168
eval__boundary_dice,feat__topology_risk__threshold_component_count_std,0.6997571983414083,0.6997571983414083,4.96556035648196e-26,168
eval__boundary_dice,feat__topology_risk__threshold_area_frac_std,0.6571388077606412,0.6571388077606412,3.9070240328766053e-22,168
eval__boundary_dice,feat__topology_risk__threshold_euler_std,0.7010421972098996,0.7010421972098996,3.696797674229532e-26,168
eval__boundary_dice,feat__anatomical_topological_consistency__opening_residual_frac,0.15757375790543313,0.15757375790543313,0.041360043744101155,168
eval__boundary_dice,feat__anatomical_topological_consistency__closing_residual_frac,0.3758237196047025,0.3758237196047025,5.163565490576628e-07,168
eval__error_area_frac,feat__global_uncertainty__mean_entropy,-0.004432810899426191,0.004432810899426191,0.9545236031293127,168
eval__error_area_frac,feat__global_uncertainty__max_entropy,,,,168
eval__error_area_frac,feat__global_uncertainty__mean_margin_uncertainty,-0.016779638174819096,0.016779638174819096,0.8290809923597328,168
eval__error_area_frac,feat__global_uncertainty__max_margin_uncertainty,-0.004042150252260581,0.004042150252260581,0.9585276559595958,168
eval__error_area_frac,feat__global_uncertainty__foreground_area_frac,0.05359234210722199,0.05359234210722199,0.49022815098942313,168
eval__error_area_frac,feat__boundary_risk__pred_boundary_area_frac,0.06215683024082465,0.06215683024082465,0.4234768088159924,168
eval__error_area_frac,feat__boundary_risk__boundary_mean_entropy,0.12184092624617511,0.12184092624617511,0.11564575175322889,168
eval__error_area_frac,feat__boundary_risk__boundary_max_entropy,,,,168
eval__error_area_frac,feat__boundary_risk__boundary_mean_margin_uncertainty,0.017878033795915852,0.017878033795915852,0.8180808093433032,168
eval__error_area_frac,feat__boundary_risk__boundary_high_entropy_frac,-0.011212999537486577,0.011212999537486577,0.8852979106600768,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_area_frac,0.08429375762210058,0.08429375762210058,0.2773244147217516,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,-0.002280338659561022,0.002280338659561022,0.976596668841751,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_component_count,0.0681013696705748,0.0681013696705748,0.3804197130287666,168
