label,feature,auc_raw,auc_directional,positives,negatives,mannwhitney_u,mannwhitney_p
bad_dice_lt_0.65,feat__global_uncertainty__mean_entropy,0.2888731396172927,0.7111268603827072,255,249,18342.0,2.3932699151984874e-16
bad_dice_lt_0.65,feat__global_uncertainty__max_entropy,0.5004173556972991,0.5004173556972991,255,249,31774.0,0.9475007148350527
bad_dice_lt_0.65,feat__global_uncertainty__mean_margin_uncertainty,0.290574060949681,0.709425939050319,255,249,18450.0,4.137714633592327e-16
bad_dice_lt_0.65,feat__global_uncertainty__max_margin_uncertainty,0.3812268682573431,0.6187731317426569,255,249,24206.0,3.9436926161522655e-06
bad_dice_lt_0.65,feat__global_uncertainty__foreground_area_frac,0.23237262776596584,0.7676273722340341,255,249,14754.5,2.6073893928944247e-25
bad_dice_lt_0.65,feat__boundary_risk__pred_boundary_area_frac,0.27252539570044887,0.7274746042995511,255,249,17304.0,9.961711666739063e-19
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_entropy,0.5036538310103158,0.5036538310103158,255,249,31979.5,0.8873796682415496
bad_dice_lt_0.65,feat__boundary_risk__boundary_max_entropy,0.5003937317899048,0.5003937317899048,255,249,31772.5,0.9505248214841449
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_margin_uncertainty,0.5176549334593274,0.5176549334593274,255,249,32868.5,0.4930484457142077
bad_dice_lt_0.65,feat__boundary_risk__boundary_high_entropy_frac,0.7376486337506891,0.7376486337506891,255,249,46837.0,1.8750860875165203e-20
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_area_frac,0.3937790377195055,0.6062209622804945,255,249,25003.0,7.920841410712362e-07
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_threshold,0.3248838491219781,0.6751161508780219,255,249,20628.5,7.358422709453834e-12
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_component_count,0.4309315694149145,0.5690684305850855,255,249,27362.0,0.0072702687337307444
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.36746987951807225,0.6325301204819278,255,249,23332.5,2.638590919183324e-07
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.38898338451846604,0.611016615481534,255,249,24698.5,1.57116418490105e-05
bad_dice_lt_0.65,feat__topology_risk__component_count,0.4371367824238128,0.5628632175761872,255,249,27756.0,0.014566955172182204
bad_dice_lt_0.65,feat__topology_risk__largest_component_area_frac,0.21396960390581937,0.7860303960941806,255,249,13586.0,1.121047702515933e-28
bad_dice_lt_0.65,feat__topology_risk__small_component_count,0.4593590046460351,0.5406409953539649,255,249,29167.0,0.11237558502876112
bad_dice_lt_0.65,feat__topology_risk__mean_component_area_frac,0.18295141349712574,0.8170485865028743,255,249,11616.5,7.532940717128036e-35
bad_dice_lt_0.65,feat__topology_risk__component_area_cv,0.32216709977163555,0.6778329002283645,255,249,20456.0,4.938817208399825e-12
bad_dice_lt_0.65,feat__topology_risk__mean_eccentricity,0.5361445783132529,0.5361445783132529,255,249,34042.5,0.16041851639165516
bad_dice_lt_0.65,feat__topology_risk__mean_solidity,0.7162374990156704,0.7162374990156704,255,249,45477.5,4.500991284976613e-17
bad_dice_lt_0.65,feat__topology_risk__euler_number,0.5234664146783211,0.5234664146783211,255,249,33237.5,0.3619356434443197
bad_dice_lt_0.65,feat__topology_risk__threshold_component_count_std,0.3440113394755493,0.6559886605244507,255,249,21843.0,1.354374100565502e-09
bad_dice_lt_0.65,feat__topology_risk__threshold_area_frac_std,0.31638711709583434,0.6836128829041657,255,249,20089.0,9.906385643454386e-13
bad_dice_lt_0.65,feat__topology_risk__threshold_euler_std,0.34967320261437906,0.6503267973856209,255,249,22202.5,5.195340426255061e-09
bad_dice_lt_0.65,feat__anatomical_topological_consistency__opening_residual_frac,0.3491849751948972,0.6508150248051028,255,249,22171.5,4.674776916302248e-09
bad_dice_lt_0.65,feat__anatomical_topological_consistency__closing_residual_frac,0.26668241593826286,0.7333175840617372,255,249,16933.0,1.2512817315380706e-19
low_boundary_dice_lt_median,feat__global_uncertainty__mean_entropy,0.36659108087679515,0.6334089191232048,252,252,23280.0,2.1941670150200232e-07
low_boundary_dice_lt_median,feat__global_uncertainty__max_entropy,0.5041021038044847,0.5041021038044847,252,252,32012.5,0.5102748406710482
low_boundary_dice_lt_median,feat__global_uncertainty__mean_margin_uncertainty,0.36707923910304857,0.6329207608969514,252,252,23311.0,2.4286195622917863e-07
low_boundary_dice_lt_median,feat__global_uncertainty__max_margin_uncertainty,0.4079664273116654,0.5920335726883346,252,252,25907.5,0.0003493153909709186
low_boundary_dice_lt_median,feat__global_uncertainty__foreground_area_frac,0.32960128495842783,0.6703987150415722,252,252,20931.0,3.6164622695146205e-11
low_boundary_dice_lt_median,feat__boundary_risk__pred_boundary_area_frac,0.34900951121189216,0.6509904887881078,252,252,22163.5,4.489554445662154e-09
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_entropy,0.5223214285714286,0.5223214285714286,252,252,33169.5,0.38605629746280334
low_boundary_dice_lt_median,feat__boundary_risk__boundary_max_entropy,0.5040784832451499,0.5040784832451499,252,252,32011.0,0.5127121336132413
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_margin_uncertainty,0.5303051776266062,0.5303051776266062,252,252,33676.5,0.23922432965210716
low_boundary_dice_lt_median,feat__boundary_risk__boundary_high_entropy_frac,0.6653832829428067,0.6653832829428067,252,252,42254.5,1.1114696146552219e-10
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_area_frac,0.47234032501889645,0.5276596749811036,252,252,29995.5,0.1986235162909712
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_threshold,0.39126669186192997,0.60873330813807,252,252,24847.0,2.101596384379592e-05
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_component_count,0.4992362685815067,0.5007637314184933,252,252,31703.5,0.9765612742365753
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.45234945830183926,0.5476505416981607,252,252,28726.0,0.06420922243799115
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.4734268707482993,0.5265731292517006,252,252,30064.5,0.30136243863559553
low_boundary_dice_lt_median,feat__topology_risk__component_count,0.41588718820861675,0.5841128117913832,252,252,26410.5,0.0010789024892819473
low_boundary_dice_lt_median,feat__topology_risk__largest_component_area_frac,0.34028565129755606,0.6597143487024439,252,252,21609.5,5.506056167648171e-10
low_boundary_dice_lt_median,feat__topology_risk__small_component_count,0.48455215419501135,0.5154478458049887,252,252,30771.0,0.5463032465265467
low_boundary_dice_lt_median,feat__topology_risk__mean_component_area_frac,0.3136101662887377,0.6863898337112623,252,252,19915.5,4.4807021688446897e-13
low_boundary_dice_lt_median,feat__topology_risk__component_area_cv,0.43247669438145625,0.5675233056185438,252,252,27464.0,0.008723272712254343
low_boundary_dice_lt_median,feat__topology_risk__mean_eccentricity,0.500921201814059,0.500921201814059,252,252,31810.5,0.9716977019982003
low_boundary_dice_lt_median,feat__topology_risk__mean_solidity,0.6289288863693625,0.6289288863693625,252,252,39939.5,5.49813428316386e-07
