label,feature,auc_raw,auc_directional,positives,negatives,mannwhitney_u,mannwhitney_p
bad_dice_lt_0.65,feat__global_uncertainty__mean_entropy,0.24525908229672955,0.7547409177032705,199,305,14886.0,3.888769444497102e-22
bad_dice_lt_0.65,feat__global_uncertainty__max_entropy,0.4949501606392619,0.5050498393607381,199,305,30041.0,0.540411073362455
bad_dice_lt_0.65,feat__global_uncertainty__mean_margin_uncertainty,0.2474009391218387,0.7525990608781613,199,305,15016.0,8.584450291366839e-22
bad_dice_lt_0.65,feat__global_uncertainty__max_margin_uncertainty,0.3776587857319384,0.6223412142680615,199,305,22922.0,3.3849661040941126e-06
bad_dice_lt_0.65,feat__global_uncertainty__foreground_area_frac,0.18131641815635555,0.8186835818436444,199,305,11005.0,1.0261684964846626e-33
bad_dice_lt_0.65,feat__boundary_risk__pred_boundary_area_frac,0.2239887964412225,0.7760112035587775,199,305,13595.0,1.0474274022938786e-25
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_entropy,0.5140621138479282,0.5140621138479282,199,305,31201.0,0.593531669749044
bad_dice_lt_0.65,feat__boundary_risk__boundary_max_entropy,0.4949501606392619,0.5050498393607381,199,305,30041.0,0.5404091329051242
bad_dice_lt_0.65,feat__boundary_risk__boundary_mean_margin_uncertainty,0.49287420710107915,0.5071257928989208,199,305,29915.0,0.7869264103619016
bad_dice_lt_0.65,feat__boundary_risk__boundary_high_entropy_frac,0.7865886811104705,0.7865886811104705,199,305,47742.0,6.612257496806991e-28
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_area_frac,0.5008732185517752,0.5008732185517752,199,305,30400.5,0.7629047764037816
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_threshold,0.2575335694867782,0.7424664305132218,199,305,15631.0,3.327209486507796e-20
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_component_count,0.6335612488672872,0.6335612488672872,199,305,38454.0,3.796665511399944e-07
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.2535793722711921,0.7464206277288079,199,305,15391.0,8.124243979853229e-21
bad_dice_lt_0.65,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.4927259247054947,0.5072740752945053,199,305,29906.0,0.7815878873230533
bad_dice_lt_0.65,feat__topology_risk__component_count,0.49374742565285445,0.5062525743471455,199,305,29968.0,0.8123395741232845
bad_dice_lt_0.65,feat__topology_risk__largest_component_area_frac,0.1712085015240135,0.8287914984759865,199,305,10391.5,8.875394959796954e-36
bad_dice_lt_0.65,feat__topology_risk__small_component_count,0.6413295988137409,0.6413295988137409,199,305,38925.5,5.0016301504926983e-08
bad_dice_lt_0.65,feat__topology_risk__mean_component_area_frac,0.14106598566603512,0.8589340143339649,199,305,8562.0,2.6213197955795595e-42
bad_dice_lt_0.65,feat__topology_risk__component_area_cv,0.273169124310075,0.726830875689925,199,305,16580.0,7.049170153120144e-18
bad_dice_lt_0.65,feat__topology_risk__mean_eccentricity,0.5159238817036,0.5159238817036,199,305,31314.0,0.5455579856980686
bad_dice_lt_0.65,feat__topology_risk__mean_solidity,0.7680369058406787,0.7680369058406787,199,305,46616.0,2.462117231530935e-24
bad_dice_lt_0.65,feat__topology_risk__euler_number,0.5229261059395337,0.5229261059395337,199,305,31739.0,0.38360831622698766
bad_dice_lt_0.65,feat__topology_risk__threshold_component_count_std,0.30226542548809626,0.6977345745119037,199,305,18346.0,5.252278117265645e-14
bad_dice_lt_0.65,feat__topology_risk__threshold_area_frac_std,0.25741823873465686,0.7425817612653431,199,305,15624.0,3.194113605551379e-20
bad_dice_lt_0.65,feat__topology_risk__threshold_euler_std,0.296589504901557,0.703410495098443,199,305,18001.5,1.0181633897084484e-14
bad_dice_lt_0.65,feat__anatomical_topological_consistency__opening_residual_frac,0.42374165911524836,0.5762583408847517,199,305,25719.0,0.0037681442383601673
bad_dice_lt_0.65,feat__anatomical_topological_consistency__closing_residual_frac,0.2581102232473845,0.7418897767526156,199,305,15666.0,3.876108866343591e-20
low_boundary_dice_lt_median,feat__global_uncertainty__mean_entropy,0.5042044595616024,0.5042044595616024,252,252,32019.0,0.8705024754665834
low_boundary_dice_lt_median,feat__global_uncertainty__max_entropy,0.5100151171579743,0.5100151171579743,252,252,32388.0,0.21388238523716485
low_boundary_dice_lt_median,feat__global_uncertainty__mean_margin_uncertainty,0.5084876543209876,0.5084876543209876,252,252,32291.0,0.7418496384337137
low_boundary_dice_lt_median,feat__global_uncertainty__max_margin_uncertainty,0.4717891786344167,0.5282108213655833,252,252,29960.5,0.27325540715619956
low_boundary_dice_lt_median,feat__global_uncertainty__foreground_area_frac,0.4564279415469892,0.5435720584530108,252,252,28985.0,0.09059030456532549
low_boundary_dice_lt_median,feat__boundary_risk__pred_boundary_area_frac,0.44618449231544466,0.5538155076845553,252,252,28334.5,0.03659904942655144
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_entropy,0.7148526077097507,0.7148526077097507,252,252,45396.0,7.070560355751497e-17
low_boundary_dice_lt_median,feat__boundary_risk__boundary_max_entropy,0.5100151171579743,0.5100151171579743,252,252,32388.0,0.21388019054701946
low_boundary_dice_lt_median,feat__boundary_risk__boundary_mean_margin_uncertainty,0.7068216175359034,0.7068216175359034,252,252,44886.0,9.444134485374695e-16
low_boundary_dice_lt_median,feat__boundary_risk__boundary_high_entropy_frac,0.5559964726631393,0.5559964726631393,252,252,35308.0,0.028647019889774517
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_area_frac,0.5,0.5,252,252,31752.0,1.0
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_threshold,0.5141408415217938,0.5141408415217938,252,252,32650.0,0.582999805723353
low_boundary_dice_lt_median,feat__uncertainty_cluster__high_uncertainty_component_count,0.49615772234819855,0.5038422776518015,252,252,31508.0,0.8814317576696955
