target,feature,spearman_rho,spearman_abs,spearman_p,n
eval__dice,feat__global_uncertainty__mean_entropy,-0.6254777005583088,0.6254777005583088,1.26228477878178e-19,168
eval__dice,feat__global_uncertainty__max_entropy,,,,168
eval__dice,feat__global_uncertainty__mean_margin_uncertainty,-0.6129068996411237,0.6129068996411237,1.046872251000232e-18,168
eval__dice,feat__global_uncertainty__max_margin_uncertainty,-0.11084450522772268,0.11084450522772268,0.15260394521389314,168
eval__dice,feat__global_uncertainty__foreground_area_frac,-0.48250317781807295,0.48250317781807295,3.520189836123762e-11,168
eval__dice,feat__boundary_risk__pred_boundary_area_frac,0.22289107457561105,0.22289107457561105,0.003683657623822821,168
eval__dice,feat__boundary_risk__boundary_mean_entropy,-0.51079413446986,0.51079413446986,1.5058851898047518e-12,168
eval__dice,feat__boundary_risk__boundary_max_entropy,,,,168
eval__dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.6179585039557403,0.6179585039557403,4.525330690567932e-19,168
eval__dice,feat__boundary_risk__boundary_high_entropy_frac,0.3551206968986795,0.3551206968986795,2.319324706430057e-06,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_area_frac,-0.5684564043340745,0.5684564043340745,9.1735799837055e-16,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_threshold,-0.5911128725229217,0.5911128725229217,3.304766318400605e-17,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.041813454508382995,0.041813454508382995,0.5904711391276881,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,-0.5737200922511972,0.5737200922511972,4.3357836413791686e-16,168
eval__dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,-0.5226734237465717,0.5226734237465717,3.6680202572204463e-13,168
eval__dice,feat__topology_risk__component_count,0.6481671130347293,0.6481671130347293,2.1531462102631083e-21,168
eval__dice,feat__topology_risk__largest_component_area_frac,-0.6145418377108843,0.6145418377108843,7.993237048299293e-19,168
eval__dice,feat__topology_risk__small_component_count,0.2587054212999504,0.2587054212999504,0.0007091897244040557,168
eval__dice,feat__topology_risk__mean_component_area_frac,-0.6047600487950558,0.6047600487950558,3.924303789712482e-18,168
eval__dice,feat__topology_risk__component_area_cv,-0.5017880598617511,0.5017880598617511,4.2386738860772004e-12,168
eval__dice,feat__topology_risk__mean_eccentricity,0.022851170018374077,0.022851170018374077,0.7687486764998911,168
eval__dice,feat__topology_risk__mean_solidity,0.3999144568006844,0.3999144568006844,7.847280800125787e-08,168
eval__dice,feat__topology_risk__euler_number,0.6519039247905122,0.6519039247905122,1.0650797940654344e-21,168
eval__dice,feat__topology_risk__threshold_component_count_std,-0.48424555610979786,0.48424555610979786,2.923096369162625e-11,168
eval__dice,feat__topology_risk__threshold_area_frac_std,-0.6036262217745406,0.6036262217745406,4.702552338688796e-18,168
eval__dice,feat__topology_risk__threshold_euler_std,-0.47335092602898576,0.47335092602898576,9.187475909109509e-11,168
eval__dice,feat__anatomical_topological_consistency__opening_residual_frac,0.3068289268868582,0.3068289268868582,5.226089443826621e-05,168
eval__dice,feat__anatomical_topological_consistency__closing_residual_frac,-0.3624796082694779,0.3624796082694779,1.3761517566164388e-06,168
eval__boundary_dice,feat__global_uncertainty__mean_entropy,-0.6749991141976405,0.6749991141976405,1.0927478993894374e-23,168
eval__boundary_dice,feat__global_uncertainty__max_entropy,,,,168
eval__boundary_dice,feat__global_uncertainty__mean_margin_uncertainty,-0.6633951032845553,0.6633951032845553,1.147745229854371e-22,168
eval__boundary_dice,feat__global_uncertainty__max_margin_uncertainty,-0.07446920279973185,0.07446920279973185,0.3373786418127835,168
eval__boundary_dice,feat__global_uncertainty__foreground_area_frac,-0.5488080572634724,0.5488080572634724,1.3421375209111471e-14,168
eval__boundary_dice,feat__boundary_risk__pred_boundary_area_frac,0.40042392050613584,0.40042392050613584,7.52838982005787e-08,168
eval__boundary_dice,feat__boundary_risk__boundary_mean_entropy,-0.46656475721422763,0.46656475721422763,1.8376389558952198e-10,168
eval__boundary_dice,feat__boundary_risk__boundary_max_entropy,,,,168
eval__boundary_dice,feat__boundary_risk__boundary_mean_margin_uncertainty,-0.6330297983913831,0.6330297983913831,3.3797986268129305e-20,168
eval__boundary_dice,feat__boundary_risk__boundary_high_entropy_frac,0.2837123723811886,0.2837123723811886,0.00019396410621116934,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_area_frac,-0.6951163262957822,0.6951163262957822,1.4228092255355226e-25,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_threshold,-0.6246814775479987,0.6246814775479987,1.4473894943332193e-19,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_component_count,0.13189377700062882,0.13189377700062882,0.08833840019462796,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,-0.6804898496359899,0.6804898496359899,3.458343694718968e-24,168
eval__boundary_dice,feat__uncertainty_cluster__high_uncertainty_small_component_count,-0.5338608669026571,0.5338608669026571,9.2165622996608e-14,168
eval__boundary_dice,feat__topology_risk__component_count,0.7460420954134694,0.7460420954134694,4.0012675166433e-31,168
eval__boundary_dice,feat__topology_risk__largest_component_area_frac,-0.7004216419232543,0.7004216419232543,4.2637708550346374e-26,168
eval__boundary_dice,feat__topology_risk__small_component_count,0.2604313404964608,0.2604313404964608,0.0006510581774618666,168
eval__boundary_dice,feat__topology_risk__mean_component_area_frac,-0.6844113969862474,0.6844113969862474,1.4972537850182289e-24,168
eval__boundary_dice,feat__topology_risk__component_area_cv,-0.5474930464356307,0.5474930464356307,1.5962009364518703e-14,168
eval__boundary_dice,feat__topology_risk__mean_eccentricity,0.10237850587919682,0.10237850587919682,0.1866539859600483,168
eval__boundary_dice,feat__topology_risk__mean_solidity,0.32908316924899156,0.32908316924899156,1.327644855138562e-05,168
eval__boundary_dice,feat__topology_risk__euler_number,0.7466820007071474,0.7466820007071474,3.3427146666062703e-31,168
eval__boundary_dice,feat__topology_risk__threshold_component_count_std,-0.42971374665093487,0.42971374665093487,6.14728996987248e-09,168
eval__boundary_dice,feat__topology_risk__threshold_area_frac_std,-0.6354923289515644,0.6354923289515644,2.1820527940958235e-20,168
eval__boundary_dice,feat__topology_risk__threshold_euler_std,-0.42685607438229584,0.42685607438229584,7.933577722929339e-09,168
eval__boundary_dice,feat__anatomical_topological_consistency__opening_residual_frac,0.4374797103236326,0.4374797103236326,3.0364904775507077e-09,168
eval__boundary_dice,feat__anatomical_topological_consistency__closing_residual_frac,-0.4231183879040676,0.4231183879040676,1.1036359408187327e-08,168
eval__error_area_frac,feat__global_uncertainty__mean_entropy,0.9187744544722897,0.9187744544722897,6.653067476359698e-69,168
eval__error_area_frac,feat__global_uncertainty__max_entropy,,,,168
eval__error_area_frac,feat__global_uncertainty__mean_margin_uncertainty,0.9254635277205523,0.9254635277205523,7.038553328802593e-72,168
eval__error_area_frac,feat__global_uncertainty__max_margin_uncertainty,0.11527135029932661,0.11527135029932661,0.13677809915665798,168
eval__error_area_frac,feat__global_uncertainty__foreground_area_frac,0.8572421032253169,0.8572421032253169,1.0118113926623427e-49,168
eval__error_area_frac,feat__boundary_risk__pred_boundary_area_frac,0.0692268512514811,0.0692268512514811,0.37257859890373346,168
eval__error_area_frac,feat__boundary_risk__boundary_mean_entropy,0.2716047195549729,0.2716047195549729,0.00036902328662460584,168
eval__error_area_frac,feat__boundary_risk__boundary_max_entropy,,,,168
eval__error_area_frac,feat__boundary_risk__boundary_mean_margin_uncertainty,0.3960548893759397,0.3960548893759397,1.0720989925329551e-07,168
eval__error_area_frac,feat__boundary_risk__boundary_high_entropy_frac,-0.7135163316646506,0.7135163316646506,1.938132552896039e-27,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_area_frac,0.7737778830334362,0.7737778830334362,9.681587063783967e-35,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,0.8859184958292763,0.8859184958292763,2.8866859716460433e-57,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_component_count,0.03593426933861764,0.03593426933861764,0.6437705837023465,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,0.6564162266657823,0.6564162266657823,4.492396441186903e-22,168
eval__error_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,0.6867236767851747,0.6867236767851747,9.083123537959883e-25,168
eval__error_area_frac,feat__topology_risk__component_count,-0.684027748470328,0.684027748470328,1.6259812299789661e-24,168
eval__error_area_frac,feat__topology_risk__largest_component_area_frac,0.7674870040139502,0.7674870040139502,7.080480746414309e-34,168
eval__error_area_frac,feat__topology_risk__small_component_count,-0.37120778145462935,0.37120778145462935,7.284104393719566e-07,168
eval__error_area_frac,feat__topology_risk__mean_component_area_frac,0.7878680508804876,0.7878680508804876,8.817820335410385e-37,168
eval__error_area_frac,feat__topology_risk__component_area_cv,0.5357219687150973,0.5357219687150973,7.288193418621876e-14,168
eval__error_area_frac,feat__topology_risk__mean_eccentricity,-0.05859962239510835,0.05859962239510835,0.45053953639265143,168
eval__error_area_frac,feat__topology_risk__mean_solidity,-0.5330935761612869,0.5330935761612869,1.0148892892196018e-13,168
eval__error_area_frac,feat__topology_risk__euler_number,-0.6944223171741243,0.6944223171741243,1.6625266950289764e-25,168
eval__error_area_frac,feat__topology_risk__threshold_component_count_std,0.7027132459782165,0.7027132459782165,2.5128104523321015e-26,168
eval__error_area_frac,feat__topology_risk__threshold_area_frac_std,0.909501369197362,0.909501369197362,3.544335071596975e-65,168
eval__error_area_frac,feat__topology_risk__threshold_euler_std,0.6934082479446718,0.6934082479446718,2.0856044429013975e-25,168
eval__error_area_frac,feat__anatomical_topological_consistency__opening_residual_frac,-0.29751049103950095,0.29751049103950095,8.98645687828132e-05,168
eval__error_area_frac,feat__anatomical_topological_consistency__closing_residual_frac,0.4596386080926961,0.4596386080926961,3.671175534052401e-10,168
