dataset,model,label,score,positives,negatives,auroc_directional,auprc
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy,199,305,0.7487272427712333,0.27233357653167295
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy,199,305,0.5903451684652771,0.5242691576777847
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty,199,305,0.7497816953620562,0.27220850494275756
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac,199,305,0.7691572617184281,0.2665389999096311
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score,199,305,0.6870170524754922,0.29444052684396027
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score,199,305,0.5783590081555318,0.42790141094458856
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score,199,305,0.5818189307191696,0.5219144943753082
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score,199,305,0.5443858637449543,0.4878974155044583
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score,199,305,0.5752368399373919,0.3313781060480119
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score,199,305,0.6983606557377049,0.28796500360424715
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score,199,305,0.6898344179915973,0.28970110178184866
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score,199,305,0.614828239558448,0.31445149428373137
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy,126,378,0.7577685395145712,0.16324240541382648
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy,126,378,0.5808767951625095,0.3734239872562662
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty,126,378,0.7545981355505165,0.1643343207475535
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac,126,378,0.7608969513731418,0.16296794855760238
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score,126,378,0.6706769127404049,0.18813063328131707
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score,126,378,0.5525846140925507,0.2609865635390707
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score,126,378,0.66921768707483,0.451390924320055
consep,point_seed123,low_boundary_dice_le_q25,boundary_dual_risk_score,126,378,0.6159821953472747,0.4165095877007446
consep,point_seed123,low_boundary_dice_le_q25,uncertainty_cluster_score,126,378,0.522119341563786,0.2226850923250561
consep,point_seed123,low_boundary_dice_le_q25,topology_risk_score,126,378,0.6221025447215923,0.19573477838480186
consep,point_seed123,low_boundary_dice_le_q25,sfrm_composite_score,126,378,0.6392038296800202,0.19019988083497075
consep,point_seed123,low_boundary_dice_le_q25,sfrm_balanced_score,126,378,0.5009028302679096,0.23153259133218806
consep,point_seed123,high_error_ge_q0.75,global_mean_entropy,126,378,0.9588057445200302,0.8711691047211669
consep,point_seed123,high_error_ge_q0.75,global_max_entropy,126,378,0.5432728647014362,0.21637351397852705
consep,point_seed123,high_error_ge_q0.75,global_mean_margin_uncertainty,126,378,0.9610733182161754,0.87987309431118
consep,point_seed123,high_error_ge_q0.75,foreground_area_frac,126,378,0.9370958259847149,0.8128760401120957
consep,point_seed123,high_error_ge_q0.75,boundary_risk_score,126,378,0.8219429747207524,0.5755437781121355
consep,point_seed123,high_error_ge_q0.75,boundary_overconfidence_score,126,378,0.6426051902242379,0.19096997793569975
consep,point_seed123,high_error_ge_q0.75,boundary_abnormality_score,126,378,0.5199462501049803,0.23671855438026565
consep,point_seed123,high_error_ge_q0.75,boundary_dual_risk_score,126,378,0.5422230620643318,0.2456030092198097
consep,point_seed123,high_error_ge_q0.75,uncertainty_cluster_score,126,378,0.8398945998152347,0.7214080195922168
consep,point_seed123,high_error_ge_q0.75,topology_risk_score,126,378,0.9037855883093978,0.7285607971092338
consep,point_seed123,high_error_ge_q0.75,sfrm_composite_score,126,378,0.923217435122197,0.7930374259456547
consep,point_seed123,high_error_ge_q0.75,sfrm_balanced_score,126,378,0.892395229696817,0.774008289355518
consep,point_seed123,high_boundary_error_ge_q0.75,global_mean_entropy,126,378,0.9733560090702948,0.9173723401696454
consep,point_seed123,high_boundary_error_ge_q0.75,global_max_entropy,126,378,0.5974216847232721,0.20127908497716163
consep,point_seed123,high_boundary_error_ge_q0.75,global_mean_margin_uncertainty,126,378,0.9745317880238514,0.9216311710300309
consep,point_seed123,high_boundary_error_ge_q0.75,foreground_area_frac,126,378,0.9668682287729906,0.9082398297187815
consep,point_seed123,high_boundary_error_ge_q0.75,boundary_risk_score,126,378,0.7681615856219031,0.5143679930876234
consep,point_seed123,high_boundary_error_ge_q0.75,boundary_overconfidence_score,126,378,0.5533299739648946,0.22677968958867942
consep,point_seed123,high_boundary_error_ge_q0.75,boundary_abnormality_score,126,378,0.5145187704711514,0.23594104720718365
consep,point_seed123,high_boundary_error_ge_q0.75,boundary_dual_risk_score,126,378,0.5455509364239524,0.24844593305999638
consep,point_seed123,high_boundary_error_ge_q0.75,uncertainty_cluster_score,126,378,0.8040543377844965,0.7098311157386061
consep,point_seed123,high_boundary_error_ge_q0.75,topology_risk_score,126,378,0.9164462081128748,0.7684236336245973
consep,point_seed123,high_boundary_error_ge_q0.75,sfrm_composite_score,126,378,0.9020324179054339,0.7714271689844047
consep,point_seed123,high_boundary_error_ge_q0.75,sfrm_balanced_score,126,378,0.8886474342823549,0.7744943612724239
consep,point_seed123,high_lecr_boundary_ge_q0.75,global_mean_entropy,126,378,0.5835852859662384,0.26392232478638944
consep,point_seed123,high_lecr_boundary_ge_q0.75,global_max_entropy,126,378,0.5355883093978332,0.23745006540505995
consep,point_seed123,high_lecr_boundary_ge_q0.75,global_mean_margin_uncertainty,126,378,0.5865247333501302,0.2526454366767781
consep,point_seed123,high_lecr_boundary_ge_q0.75,foreground_area_frac,126,378,0.5592928529436466,0.2759963233964982
consep,point_seed123,high_lecr_boundary_ge_q0.75,boundary_risk_score,126,378,0.6141345427059713,0.19436934749096219
consep,point_seed123,high_lecr_boundary_ge_q0.75,boundary_overconfidence_score,126,378,0.6151108591584782,0.36181412135425123
consep,point_seed123,high_lecr_boundary_ge_q0.75,boundary_abnormality_score,126,378,0.5152641303434955,0.2573818663086663
consep,point_seed123,high_lecr_boundary_ge_q0.75,boundary_dual_risk_score,126,378,0.5238305198622659,0.25157870148913375
consep,point_seed123,high_lecr_boundary_ge_q0.75,uncertainty_cluster_score,126,378,0.5490152851263963,0.23654905634581502
consep,point_seed123,high_lecr_boundary_ge_q0.75,topology_risk_score,126,378,0.6584467120181405,0.18467840242521844
consep,point_seed123,high_lecr_boundary_ge_q0.75,sfrm_composite_score,126,378,0.6188376585201982,0.1930603456198427
consep,point_seed123,high_lecr_boundary_ge_q0.75,sfrm_balanced_score,126,378,0.6171264802217183,0.1942597296841319
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,global_mean_entropy,126,378,0.9321197614848408,0.7435926708430978
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,global_max_entropy,126,378,0.5404593936339968,0.21745923261121833
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,global_mean_margin_uncertainty,126,378,0.9359830351893844,0.7587272066910771
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,foreground_area_frac,126,378,0.9126774166456706,0.7004878781626429
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,boundary_risk_score,126,378,0.8141429411270681,0.5613539769367801
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,boundary_overconfidence_score,126,378,0.6459225665574871,0.1888004346529999
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,boundary_abnormality_score,126,378,0.5143298059964726,0.223569878356168
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,boundary_dual_risk_score,126,378,0.5306227429243302,0.2397687718946492
consep,point_seed123,high_lecr_uncertainty_ge_q0.75,uncertainty_cluster_score,126,378,0.7990992693373646,0.6651842722455046
