dataset,model,label,score,positives,negatives,auroc_directional,auprc
consep,prototype_seed7,bad_dice_lt_0.65,global_mean_entropy,243,261,0.6875266070668369,0.3674173230546889
consep,prototype_seed7,bad_dice_lt_0.65,global_max_entropy,243,261,0.5962663387099318,0.595182073289755
consep,prototype_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty,243,261,0.68435740977248,0.36996054209448415
consep,prototype_seed7,bad_dice_lt_0.65,foreground_area_frac,243,261,0.7665200321649874,0.34007291487131863
consep,prototype_seed7,bad_dice_lt_0.65,boundary_risk_score,243,261,0.5062201409583275,0.48199842696212947
consep,prototype_seed7,bad_dice_lt_0.65,boundary_overconfidence_score,243,261,0.6036059473692509,0.4063987702871954
consep,prototype_seed7,bad_dice_lt_0.65,boundary_abnormality_score,243,261,0.5196695205209467,0.515284411698091
consep,prototype_seed7,bad_dice_lt_0.65,boundary_dual_risk_score,243,261,0.5716065149866767,0.454350847785192
consep,prototype_seed7,bad_dice_lt_0.65,uncertainty_cluster_score,243,261,0.5977011494252874,0.4097384310654487
consep,prototype_seed7,bad_dice_lt_0.65,topology_risk_score,243,261,0.5822729924475347,0.4096532490352786
consep,prototype_seed7,bad_dice_lt_0.65,sfrm_composite_score,243,261,0.5769673462308627,0.4179541252372448
consep,prototype_seed7,bad_dice_lt_0.65,sfrm_balanced_score,243,261,0.6066647746085805,0.40344484160763217
consep,prototype_seed7,low_boundary_dice_le_q25,global_mean_entropy,126,378,0.6676534811455446,0.18395783299759294
consep,prototype_seed7,low_boundary_dice_le_q25,global_max_entropy,126,378,0.5522801713277904,0.34871122453060516
consep,prototype_seed7,low_boundary_dice_le_q25,global_mean_margin_uncertainty,126,378,0.6645250692869741,0.18514828635104214
consep,prototype_seed7,low_boundary_dice_le_q25,foreground_area_frac,126,378,0.7129419669102208,0.17971875676833116
consep,prototype_seed7,low_boundary_dice_le_q25,boundary_risk_score,126,378,0.5285966238347191,0.3089540111534467
consep,prototype_seed7,low_boundary_dice_le_q25,boundary_overconfidence_score,126,378,0.6308788947677837,0.20458239108133766
consep,prototype_seed7,low_boundary_dice_le_q25,boundary_abnormality_score,126,378,0.5642374233644074,0.3293351409449936
