dataset,model,label,score,positives,negatives,auroc_directional,auprc
fets,single_sites18_19_20,bad_dice_lt_0.65,global_mean_entropy,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,global_max_entropy,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,global_mean_margin_uncertainty,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,foreground_area_frac,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,boundary_risk_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,boundary_overconfidence_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,boundary_abnormality_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,boundary_dual_risk_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,uncertainty_cluster_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,topology_risk_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,sfrm_composite_score,0,44,,
fets,single_sites18_19_20,bad_dice_lt_0.65,sfrm_balanced_score,0,44,,
fets,single_sites18_19_20,low_boundary_dice_le_q25,global_mean_entropy,11,33,0.5482093663911846,0.32370708022881933
fets,single_sites18_19_20,low_boundary_dice_le_q25,global_max_entropy,11,33,0.768595041322314,0.18019882411722538
fets,single_sites18_19_20,low_boundary_dice_le_q25,global_mean_margin_uncertainty,11,33,0.5619834710743802,0.3334788400005791
fets,single_sites18_19_20,low_boundary_dice_le_q25,foreground_area_frac,11,33,0.6584022038567493,0.20572694310609071
fets,single_sites18_19_20,low_boundary_dice_le_q25,boundary_risk_score,11,33,0.6473829201101928,0.20242329220781344
fets,single_sites18_19_20,low_boundary_dice_le_q25,boundary_overconfidence_score,11,33,0.6212121212121212,0.31924417338715116
fets,single_sites18_19_20,low_boundary_dice_le_q25,boundary_abnormality_score,11,33,0.6253443526170799,0.23957484974352705
fets,single_sites18_19_20,low_boundary_dice_le_q25,boundary_dual_risk_score,11,33,0.6584022038567493,0.2201942472441455
fets,single_sites18_19_20,low_boundary_dice_le_q25,uncertainty_cluster_score,11,33,0.6983471074380165,0.19035795173881492
fets,single_sites18_19_20,low_boundary_dice_le_q25,topology_risk_score,11,33,0.7506887052341599,0.5674111900396486
fets,single_sites18_19_20,low_boundary_dice_le_q25,sfrm_composite_score,11,33,0.5867768595041323,0.22303921164160004
fets,single_sites18_19_20,low_boundary_dice_le_q25,sfrm_balanced_score,11,33,0.5867768595041323,0.23610727961980424
fets,single_sites18_19_20,high_error_ge_q0.75,global_mean_entropy,11,33,0.7355371900826446,0.5460501455066673
fets,single_sites18_19_20,high_error_ge_q0.75,global_max_entropy,11,33,0.7906336088154271,0.1750697522600464
fets,single_sites18_19_20,high_error_ge_q0.75,global_mean_margin_uncertainty,11,33,0.743801652892562,0.516266292995542
fets,single_sites18_19_20,high_error_ge_q0.75,foreground_area_frac,11,33,0.5151515151515151,0.34265280762165673
fets,single_sites18_19_20,high_error_ge_q0.75,boundary_risk_score,11,33,0.7327823691460056,0.18466581498865567
fets,single_sites18_19_20,high_error_ge_q0.75,boundary_overconfidence_score,11,33,0.7506887052341598,0.41216999895581374
fets,single_sites18_19_20,high_error_ge_q0.75,boundary_abnormality_score,11,33,0.5123966942148761,0.29323967522697103
fets,single_sites18_19_20,high_error_ge_q0.75,boundary_dual_risk_score,11,33,0.5151515151515151,0.28862504245965837
fets,single_sites18_19_20,high_error_ge_q0.75,uncertainty_cluster_score,11,33,0.7865013774104683,0.17311559773868235
fets,single_sites18_19_20,high_error_ge_q0.75,topology_risk_score,11,33,0.7520661157024794,0.6567560207653286
fets,single_sites18_19_20,high_error_ge_q0.75,sfrm_composite_score,11,33,0.696969696969697,0.1918181596284198
fets,single_sites18_19_20,high_error_ge_q0.75,sfrm_balanced_score,11,33,0.5867768595041323,0.23095996234013402
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,global_mean_entropy,11,33,0.8512396694214877,0.7107024316263447
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,global_max_entropy,11,33,0.7823691460055097,0.17685069190863312
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,global_mean_margin_uncertainty,11,33,0.862258953168044,0.7285769813190762
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,foreground_area_frac,11,33,0.6088154269972452,0.38682476456325
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,boundary_risk_score,11,33,0.7038567493112948,0.19026143807439733
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,boundary_overconfidence_score,11,33,0.7548209366391185,0.41588900722027655
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,boundary_abnormality_score,11,33,0.5110192837465565,0.2961478781351739
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,boundary_dual_risk_score,11,33,0.5082644628099173,0.2897038417091893
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,uncertainty_cluster_score,11,33,0.8774104683195593,0.1590050161386954
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,topology_risk_score,11,33,0.7355371900826446,0.6412977947807866
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,sfrm_composite_score,11,33,0.768595041322314,0.17994506661557225
fets,single_sites18_19_20,high_boundary_error_ge_q0.75,sfrm_balanced_score,11,33,0.6831955922865014,0.20026712212892905
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,global_mean_entropy,11,33,0.6363636363636364,0.20657560844280493
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,global_max_entropy,11,33,0.7575757575757576,0.5005105606780248
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,global_mean_margin_uncertainty,11,33,0.6473829201101928,0.2019134846897721
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,foreground_area_frac,11,33,0.6804407713498623,0.38999411421041513
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,boundary_risk_score,11,33,0.6928374655647382,0.4769890088631539
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,boundary_overconfidence_score,11,33,0.6349862258953167,0.2501678690132799
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,boundary_abnormality_score,11,33,0.5743801652892562,0.3183139030028982
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,boundary_dual_risk_score,11,33,0.5991735537190083,0.3462138720465623
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,uncertainty_cluster_score,11,33,0.7878787878787878,0.4999964503707819
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,topology_risk_score,11,33,0.5950413223140496,0.22804867425732905
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,sfrm_composite_score,11,33,0.7520661157024794,0.47418944691671966
fets,single_sites18_19_20,high_lecr_boundary_ge_q0.75,sfrm_balanced_score,11,33,0.7520661157024793,0.4721964725708041
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,global_mean_entropy,11,33,0.7933884297520661,0.6910631035631036
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,global_max_entropy,11,33,0.8126721763085399,0.1720098602096093
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,global_mean_margin_uncertainty,11,33,0.8044077134986225,0.7089376532558351
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,foreground_area_frac,11,33,0.5757575757575758,0.37859414763406807
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,boundary_risk_score,11,33,0.7258953168044078,0.18527581105319718
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,boundary_overconfidence_score,11,33,0.7699724517906337,0.42381064786918987
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,boundary_abnormality_score,11,33,0.5013774104683196,0.29556512755242337
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,boundary_dual_risk_score,11,33,0.5110192837465565,0.2891495179841339
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,uncertainty_cluster_score,11,33,0.8553719008264463,0.16304542017909943
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,topology_risk_score,11,33,0.8099173553719008,0.6810508846216182
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,sfrm_composite_score,11,33,0.7245179063360881,0.1859955378834348
fets,single_sites18_19_20,high_lecr_uncertainty_ge_q0.75,sfrm_balanced_score,11,33,0.6033057851239669,0.22759928792682801
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,global_mean_entropy,1,43,0.8837209302325582,0.16666666666666666
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,global_max_entropy,1,43,0.813953488372093,0.027777777777777776
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,global_mean_margin_uncertainty,1,43,0.8837209302325582,0.16666666666666666
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,foreground_area_frac,1,43,1.0,1.0
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,boundary_risk_score,1,43,0.7209302325581395,0.03125
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,boundary_overconfidence_score,1,43,0.8604651162790697,0.14285714285714285
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,boundary_abnormality_score,1,43,0.8488372093023255,0.125
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,boundary_dual_risk_score,1,43,0.8372093023255814,0.125
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,uncertainty_cluster_score,1,43,0.9302325581395349,0.024390243902439025
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,topology_risk_score,1,43,0.9534883720930234,0.3333333333333333
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,sfrm_composite_score,1,43,0.6976744186046512,0.03225806451612903
fets,single_sites18_19_20,gray_high_dice_high_boundary_error,sfrm_balanced_score,1,43,0.6511627906976745,0.0625
