dataset,model,label,score,positives,negatives,auroc_directional,auprc
monuseg,point_seed123,bad_dice_lt_0.65,global_mean_entropy,25,143,0.7423776223776224,0.5902136996249672
monuseg,point_seed123,bad_dice_lt_0.65,global_max_entropy,25,143,0.6503496503496504,0.21194134503148562
monuseg,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty,25,143,0.7225174825174825,0.5661925431589376
monuseg,point_seed123,bad_dice_lt_0.65,foreground_area_frac,25,143,0.5504895104895104,0.14803137320501714
monuseg,point_seed123,bad_dice_lt_0.65,boundary_risk_score,25,143,0.8604195804195804,0.7456569713021733
monuseg,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score,25,143,0.8355244755244755,0.09056342804107678
monuseg,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score,25,143,0.7188811188811188,0.46763114978242887
monuseg,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score,25,143,0.6344055944055944,0.25437027238575216
monuseg,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score,25,143,0.6025174825174826,0.25369249131790145
monuseg,point_seed123,bad_dice_lt_0.65,topology_risk_score,25,143,0.6593006993006993,0.41119155952192404
monuseg,point_seed123,bad_dice_lt_0.65,sfrm_composite_score,25,143,0.7169230769230769,0.5188539580549283
monuseg,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score,25,143,0.6495104895104895,0.40066106630353976
monuseg,point_seed123,low_boundary_dice_le_q25,global_mean_entropy,42,126,0.5279667422524565,0.42803199818868254
monuseg,point_seed123,low_boundary_dice_le_q25,global_max_entropy,42,126,0.5151171579743008,0.24489378973291961
monuseg,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty,42,126,0.5073696145124718,0.42064011876959506
monuseg,point_seed123,low_boundary_dice_le_q25,foreground_area_frac,42,126,0.6507936507936508,0.19495210415040068
monuseg,point_seed123,low_boundary_dice_le_q25,boundary_risk_score,42,126,0.7916666666666666,0.6955092561353128
monuseg,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score,42,126,0.8321995464852607,0.15402018199913195
monuseg,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score,42,126,0.6319916855631142,0.5105692566606854
monuseg,point_seed123,low_boundary_dice_le_q25,boundary_dual_risk_score,42,126,0.5214474678760394,0.29902458988411174
monuseg,point_seed123,low_boundary_dice_le_q25,uncertainty_cluster_score,42,126,0.6287792894935752,0.23073242723286466
monuseg,point_seed123,low_boundary_dice_le_q25,topology_risk_score,42,126,0.5237150415721844,0.34846879852385415
monuseg,point_seed123,low_boundary_dice_le_q25,sfrm_composite_score,42,126,0.5145502645502646,0.4045931388413958
monuseg,point_seed123,low_boundary_dice_le_q25,sfrm_balanced_score,42,126,0.5908919123204837,0.32603881408140023
monuseg,point_seed123,high_error_ge_q0.75,global_mean_entropy,42,126,0.7161753590325018,0.5620107565713658
monuseg,point_seed123,high_error_ge_q0.75,global_max_entropy,42,126,0.5965608465608466,0.20762161727225
monuseg,point_seed123,high_error_ge_q0.75,global_mean_margin_uncertainty,42,126,0.718442932728647,0.5584710790290905
monuseg,point_seed123,high_error_ge_q0.75,foreground_area_frac,42,126,0.659297052154195,0.432725480057344
monuseg,point_seed123,high_error_ge_q0.75,boundary_risk_score,42,126,0.6117724867724867,0.4820891509600177
monuseg,point_seed123,high_error_ge_q0.75,boundary_overconfidence_score,42,126,0.5376984126984127,0.238217630393454
monuseg,point_seed123,high_error_ge_q0.75,boundary_abnormality_score,42,126,0.5224867724867726,0.280910740120883
monuseg,point_seed123,high_error_ge_q0.75,boundary_dual_risk_score,42,126,0.559901738473167,0.27935316695784485
monuseg,point_seed123,high_error_ge_q0.75,uncertainty_cluster_score,42,126,0.5849395313681027,0.3810681975496185
monuseg,point_seed123,high_error_ge_q0.75,topology_risk_score,42,126,0.7379062736205594,0.5728295018701328
monuseg,point_seed123,high_error_ge_q0.75,sfrm_composite_score,42,126,0.6631708238851095,0.5363958312034545
monuseg,point_seed123,high_error_ge_q0.75,sfrm_balanced_score,42,126,0.653061224489796,0.5393212579641914
monuseg,point_seed123,high_boundary_error_ge_q0.75,global_mean_entropy,42,126,0.7397959183673469,0.417167140685912
