dataset,model,label,score,positives,negatives,auroc_directional,auprc
monuseg,prototype_seed123,bad_dice_lt_0.65,global_mean_entropy,18,150,0.6477777777777778,0.10345482678750315
monuseg,prototype_seed123,bad_dice_lt_0.65,global_max_entropy,18,150,0.6807407407407406,0.16164199013515235
monuseg,prototype_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty,18,150,0.7185185185185186,0.07830710727835474
monuseg,prototype_seed123,bad_dice_lt_0.65,foreground_area_frac,18,150,0.9392592592592592,0.060352508646172365
monuseg,prototype_seed123,bad_dice_lt_0.65,boundary_risk_score,18,150,0.9644444444444444,0.7069233407513292
monuseg,prototype_seed123,bad_dice_lt_0.65,boundary_overconfidence_score,18,150,0.9848148148148148,0.05946401433493678
monuseg,prototype_seed123,bad_dice_lt_0.65,boundary_abnormality_score,18,150,0.9646296296296296,0.8565208900957695
monuseg,prototype_seed123,bad_dice_lt_0.65,boundary_dual_risk_score,18,150,0.8590740740740741,0.6340865303987908
monuseg,prototype_seed123,bad_dice_lt_0.65,uncertainty_cluster_score,18,150,0.7083333333333333,0.07746359677261525
monuseg,prototype_seed123,bad_dice_lt_0.65,topology_risk_score,18,150,0.5007407407407407,0.10522053113825339
monuseg,prototype_seed123,bad_dice_lt_0.65,sfrm_composite_score,18,150,0.5896296296296296,0.15605268552823504
monuseg,prototype_seed123,bad_dice_lt_0.65,sfrm_balanced_score,18,150,0.5288888888888889,0.10995078648482198
monuseg,prototype_seed123,low_boundary_dice_le_q25,global_mean_entropy,42,126,0.7167422524565381,0.17924903443586665
monuseg,prototype_seed123,low_boundary_dice_le_q25,global_max_entropy,42,126,0.5105820105820106,0.2397708056525262
monuseg,prototype_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty,42,126,0.7605820105820106,0.16497805999811818
monuseg,prototype_seed123,low_boundary_dice_le_q25,foreground_area_frac,42,126,0.8291761148904007,0.15495217138868397
