dataset,model,label,score,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy,168,0.05,9,31,1,0.03225806451612903,0.1111111111111111,0.6451612903225806,0.18867924528301888,-0.02251978088861839
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy,168,0.1,17,31,1,0.03225806451612903,0.058823529411764705,0.3225806451612903,0.1986754966887417,-0.07669301431318076
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy,168,0.2,34,31,6,0.1935483870967742,0.17647058823529413,0.9677419354838709,0.1865671641791045,-0.011073663938372613
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy,168,0.3,51,31,13,0.41935483870967744,0.2549019607843137,1.3978494623655915,0.15384615384615385,0.16625310173697272
monuseg,prototype_seed42,bad_dice_lt_0.65,global_max_entropy,168,0.05,9,31,0,0.0,0.0,0.0,0.1949685534591195,-0.05660377358490565
monuseg,prototype_seed42,bad_dice_lt_0.65,global_max_entropy,168,0.1,17,31,0,0.0,0.0,0.0,0.2052980132450331,-0.11258278145695355
monuseg,prototype_seed42,bad_dice_lt_0.65,global_max_entropy,168,0.2,34,31,0,0.0,0.0,0.0,0.23134328358208955,-0.25373134328358193
monuseg,prototype_seed42,bad_dice_lt_0.65,global_max_entropy,168,0.3,51,31,8,0.25806451612903225,0.1568627450980392,0.8602150537634409,0.19658119658119658,-0.06534325889164583
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.05,9,31,0,0.0,0.0,0.0,0.1949685534591195,-0.05660377358490565
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.1,17,31,0,0.0,0.0,0.0,0.2052980132450331,-0.11258278145695355
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.2,34,31,2,0.06451612903225806,0.058823529411764705,0.3225806451612903,0.21641791044776118,-0.17284545016851216
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.3,51,31,7,0.22580645161290322,0.13725490196078433,0.7526881720430108,0.20512820512820512,-0.11166253101736956
