dataset,model,label,score,positives,negatives,auroc_directional,auprc
CoNSeP,point_seed42,bad_dice_lt_0.65,global_mean_entropy,255,249,0.7111268603827072,0.3774933809280081
CoNSeP,point_seed42,bad_dice_lt_0.65,global_max_entropy,255,249,0.7007165918576266,0.7043978350020257
CoNSeP,point_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,255,249,0.709425939050319,0.3785379815074513
CoNSeP,point_seed42,bad_dice_lt_0.65,foreground_area_frac,255,249,0.7676667454130246,0.35995067149304266
CoNSeP,point_seed42,bad_dice_lt_0.65,boundary_risk_score,255,249,0.5078195133475077,0.5526848345170323
CoNSeP,point_seed42,bad_dice_lt_0.65,boundary_overconfidence_score,255,249,0.6150169304669659,0.43040390158654923
CoNSeP,point_seed42,bad_dice_lt_0.65,boundary_abnormality_score,255,249,0.6204976769824395,0.6225859074321061
CoNSeP,point_seed42,bad_dice_lt_0.65,boundary_dual_risk_score,255,249,0.5440270887471454,0.5611458986735639
CoNSeP,point_seed42,bad_dice_lt_0.65,uncertainty_cluster_score,255,249,0.6249310969367666,0.42198421760918076
CoNSeP,point_seed42,bad_dice_lt_0.65,topology_risk_score,255,249,0.6650051185132687,0.40032805245254766
CoNSeP,point_seed42,bad_dice_lt_0.65,sfrm_composite_score,255,249,0.6227419481848965,0.4454841670121329
CoNSeP,point_seed42,bad_dice_lt_0.65,sfrm_balanced_score,255,249,0.6388770769351917,0.4357497823304338
CoNSeP,point_seed42,low_boundary_dice_le_q25,global_mean_entropy,126,378,0.7207734945830184,0.17078576875392024
CoNSeP,point_seed42,low_boundary_dice_le_q25,global_max_entropy,126,378,0.5825564793818762,0.4215099699690517
CoNSeP,point_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,126,378,0.7215503485344755,0.17071887746429426
CoNSeP,point_seed42,low_boundary_dice_le_q25,foreground_area_frac,126,378,0.732342319643907,0.17676742430093237
CoNSeP,point_seed42,low_boundary_dice_le_q25,boundary_risk_score,126,378,0.5223188040648359,0.2533783475717988
CoNSeP,point_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,126,378,0.5729612832787436,0.23142385597773035
CoNSeP,point_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,126,378,0.6644095909968926,0.41467124051677506
CoNSeP,point_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,126,378,0.6079092130679432,0.37554585622143666
CoNSeP,point_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,126,378,0.6038254808096077,0.20620830736280288
CoNSeP,point_seed42,low_boundary_dice_le_q25,topology_risk_score,126,378,0.6039724531788024,0.2010805683044886
CoNSeP,point_seed42,low_boundary_dice_le_q25,sfrm_composite_score,126,378,0.5977366255144033,0.21434461047529435
CoNSeP,point_seed42,low_boundary_dice_le_q25,sfrm_balanced_score,126,378,0.5650772654740909,0.22727428832271485
CoNSeP,point_seed42,high_error_ge_q0.75,global_mean_entropy,126,378,0.9251070798689847,0.7543389521059403
CoNSeP,point_seed42,high_error_ge_q0.75,global_max_entropy,126,378,0.5319349962207105,0.22687657158110805
CoNSeP,point_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,126,378,0.9272906693541614,0.7464756926644458
CoNSeP,point_seed42,high_error_ge_q0.75,foreground_area_frac,126,378,0.8622239019064416,0.7026092149187844
CoNSeP,point_seed42,high_error_ge_q0.75,boundary_risk_score,126,378,0.7499580078945158,0.5140924101612431
CoNSeP,point_seed42,high_error_ge_q0.75,boundary_overconfidence_score,126,378,0.5766985806668347,0.21416138363092535
CoNSeP,point_seed42,high_error_ge_q0.75,boundary_abnormality_score,126,378,0.5886243386243386,0.20152124149762712
CoNSeP,point_seed42,high_error_ge_q0.75,boundary_dual_risk_score,126,378,0.513426975728563,0.22314485119318578
CoNSeP,point_seed42,high_error_ge_q0.75,uncertainty_cluster_score,126,378,0.919511631813219,0.8010534164260816
CoNSeP,point_seed42,high_error_ge_q0.75,topology_risk_score,126,378,0.9002687494750987,0.7049182665545141
CoNSeP,point_seed42,high_error_ge_q0.75,sfrm_composite_score,126,378,0.9395418661291677,0.8275495201670799
CoNSeP,point_seed42,high_error_ge_q0.75,sfrm_balanced_score,126,378,0.9141366423112456,0.7899263950176947
CoNSeP,point_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,126,378,0.9672461577223481,0.9059943705435157
