dataset,model,label,score,ranking_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,199,0,0.0,0.0,0.0,0.41631799163179917,-0.05439330543933063
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,199,4,0.020100502512562814,0.0784313725490196,0.20100502512562812,0.4304635761589404,-0.09021930846284398
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,199,11,0.05527638190954774,0.10891089108910891,0.27638190954773867,0.4665012406947891,-0.1814905794481092
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,199,25,0.12562814070351758,0.16447368421052633,0.41876046901172526,0.4943181818181818,-0.2519415258108726
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,199,24,0.12060301507537688,0.9230769230769231,2.4120603015075375,0.36610878661087864,0.07276970627194546
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,199,33,0.1658291457286432,0.6470588235294118,1.658291457286432,0.36644591611479027,0.07191587074445072
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,199,47,0.23618090452261306,0.46534653465346537,1.1809045226130652,0.3771712158808933,0.04475229746748621
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,199,69,0.34673366834170855,0.45394736842105265,1.155778894472362,0.3693181818181818,0.06464138876199177
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.05,26,199,0,0.0,0.0,0.0,0.41631799163179917,-0.05439330543933063
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.1,51,199,6,0.03015075376884422,0.11764705882352941,0.3015075376884422,0.4260485651214128,-0.0790375719657892
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.2,101,199,13,0.06532663316582915,0.12871287128712872,0.32663316582914576,0.46153846153846156,-0.16892153073057603
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.3,152,199,24,0.12060301507537688,0.15789473684210525,0.4020100502512563,0.4971590909090909,-0.2591365920511648
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.05,26,199,0,0.0,0.0,0.0,0.41631799163179917,-0.05439330543933063
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.1,51,199,0,0.0,0.0,0.0,0.4392935982339956,-0.11258278145695377
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.2,101,199,10,0.05025125628140704,0.09900990099009901,0.25125628140703515,0.46898263027295284,-0.18777510380687557
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.3,152,199,22,0.11055276381909548,0.14473684210526316,0.3685092127303183,0.5028409090909091,-0.27352672453174964
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,1,0.005025125628140704,0.038461538461538464,0.10050251256281406,0.41422594142259417,-0.04909484661802743
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,10,0.05025125628140704,0.19607843137254902,0.5025125628140703,0.41721854304635764,-0.05667409897167963
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,19,0.09547738693467336,0.18811881188118812,0.4773869346733668,0.4466501240694789,-0.13121438457797674
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,35,0.17587939698492464,0.23026315789473684,0.5862646566164155,0.4659090909090909,-0.1799908634079488
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,4,0.020100502512562814,0.15384615384615385,0.40201005025125625,0.40794979079497906,-0.03319947015411784
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,19,0.09547738693467336,0.37254901960784315,0.9547738693467336,0.3973509933774834,-0.006356284734932993
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,46,0.23115577889447236,0.45544554455445546,1.1557788944723617,0.37965260545905705,0.03846777310871985
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,69,0.34673366834170855,0.45394736842105265,1.155778894472362,0.3693181818181818,0.06464138876199177
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,20,0.10050251256281408,0.7692307692307693,2.0100502512562812,0.37447698744769875,0.051575870986732775
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,36,0.18090452261306533,0.7058823529411765,1.8090452261306533,0.3598233995584989,0.08868847549003289
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,64,0.32160804020100503,0.6336633663366337,1.608040201005025,0.3349875930521092,0.1515892115665174
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,87,0.4371859296482412,0.5723684210526315,1.4572864321608041,0.3181818181818182,0.19415258108725442
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,20,0.10050251256281408,0.7692307692307693,2.0100502512562812,0.37447698744769875,0.051575870986732775
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,34,0.1708542713567839,0.6666666666666666,1.708542713567839,0.36423841059602646,0.07750673899297822
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,60,0.3015075376884422,0.594059405940594,1.507537688442211,0.34491315136476425,0.12645111413145127
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,76,0.38190954773869346,0.5,1.273031825795645,0.3494318181818182,0.1150068524440383
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,3,0.01507537688442211,0.11538461538461539,0.3015075376884422,0.4100418410041841,-0.038497928975421036
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,5,0.02512562814070352,0.09803921568627451,0.25125628140703515,0.4282560706401766,-0.0846284402143167
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,21,0.10552763819095477,0.2079207920792079,0.5276381909547738,0.44168734491315137,-0.11864533586044379
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,45,0.22613065326633167,0.29605263157894735,0.7537688442211056,0.4375,-0.1080402010050252
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,3,0.01507537688442211,0.11538461538461539,0.3015075376884422,0.4100418410041841,-0.038497928975421036
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,5,0.02512562814070352,0.09803921568627451,0.25125628140703515,0.4282560706401766,-0.0846284402143167
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,14,0.07035175879396985,0.13861386138613863,0.3517587939698492,0.45905707196029777,-0.16263700637180944
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,25,0.12562814070351758,0.16447368421052633,0.41876046901172526,0.4943181818181818,-0.2519415258108726
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,3,0.01507537688442211,0.11538461538461539,0.3015075376884422,0.4100418410041841,-0.038497928975421036
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,7,0.035175879396984924,0.13725490196078433,0.3517587939698492,0.423841059602649,-0.07344670371726192
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,16,0.08040201005025126,0.15841584158415842,0.40201005025125625,0.45409429280397023,-0.1500679576542765
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,24,0.12060301507537688,0.15789473684210525,0.4020100502512563,0.4971590909090909,-0.2591365920511648
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.05,26,199,2,0.010050251256281407,0.07692307692307693,0.20100502512562812,0.4121338912133891,-0.043796387796724234
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.1,51,199,7,0.035175879396984924,0.13725490196078433,0.3517587939698492,0.423841059602649,-0.07344670371726192
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.2,101,199,15,0.07537688442211055,0.1485148514851485,0.37688442211055273,0.456575682382134,-0.15635248201304286
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,raw_global_ranking,504,0.3,152,199,32,0.16080402010050251,0.21052631578947367,0.5360134003350084,0.4744318181818182,-0.20157606212882606
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.05,29,199,10,0.05025125628140704,0.3448275862068966,1.0050251256281406,0.39789473684210525,-0.007733403861412302
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.1,54,199,18,0.09045226130653267,0.3333333333333333,0.9045226130653267,0.4022222222222222,-0.018693467336683423
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.2,104,199,37,0.18592964824120603,0.3557692307692308,0.9296482412060301,0.405,-0.025728643216080593
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.3,154,199,59,0.2964824120603015,0.38311688311688313,0.9882747068676717,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.05,29,199,13,0.06532663316582915,0.4482758620689655,1.306532663316583,0.391578947368421,0.008262364453848203
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.1,54,199,22,0.11055276381909548,0.4074074074074074,1.1055276381909547,0.3933333333333333,0.0038190954773869024
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.2,104,199,49,0.24623115577889448,0.47115384615384615,1.2311557788944723,0.375,0.05025125628140703
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.3,154,199,62,0.31155778894472363,0.4025974025974026,1.0385259631490789,0.3914285714285714,0.008643216080402083
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.05,29,199,10,0.05025125628140704,0.3448275862068966,1.0050251256281406,0.39789473684210525,-0.007733403861412302
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.1,54,199,20,0.10050251256281408,0.37037037037037035,1.0050251256281406,0.3977777777777778,-0.00743718592964826
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.2,104,199,34,0.1708542713567839,0.3269230769230769,0.8542713567839195,0.4125,-0.04472361809045222
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.3,154,199,59,0.2964824120603015,0.38311688311688313,0.9882747068676717,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.05,29,199,9,0.04522613065326633,0.3103448275862069,0.9045226130653267,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.1,54,199,17,0.08542713567839195,0.3148148148148148,0.8542713567839195,0.40444444444444444,-0.024321608040201115
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.2,104,199,35,0.17587939698492464,0.33653846153846156,0.8793969849246231,0.41,-0.03839195979899501
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.3,154,199,53,0.2663316582914573,0.34415584415584416,0.8877721943048577,0.41714285714285715,-0.05648241206030158
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.05,29,199,5,0.02512562814070352,0.1724137931034483,0.5025125628140703,0.40842105263157896,-0.034393017720179886
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.1,54,199,14,0.07035175879396985,0.25925925925925924,0.7035175879396984,0.4111111111111111,-0.04120603015075375
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.2,104,199,31,0.15577889447236182,0.2980769230769231,0.7788944723618091,0.42,-0.06371859296482407
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.3,154,199,51,0.2562814070351759,0.33116883116883117,0.8542713567839196,0.4228571428571429,-0.07095477386934679
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.05,29,199,7,0.035175879396984924,0.2413793103448276,0.7035175879396984,0.40421052631578946,-0.023729172176672808
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.1,54,199,19,0.09547738693467336,0.35185185185185186,0.9547738693467336,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.2,104,199,44,0.22110552763819097,0.4230769230769231,1.1055276381909547,0.3875,0.01859296482412054
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.3,154,199,61,0.3065326633165829,0.3961038961038961,1.0217755443886098,0.3942857142857143,0.0014070351758793676
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.05,29,199,5,0.02512562814070352,0.1724137931034483,0.5025125628140703,0.40842105263157896,-0.034393017720179886
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.1,54,199,15,0.07537688442211055,0.2777777777777778,0.7537688442211055,0.4088888888888889,-0.03557788944723628
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.2,104,199,33,0.1658291457286432,0.3173076923076923,0.829145728643216,0.415,-0.05105527638190943
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.3,154,199,54,0.271356783919598,0.35064935064935066,0.9045226130653267,0.4142857142857143,-0.049246231155779085
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.05,29,199,4,0.020100502512562814,0.13793103448275862,0.40201005025125625,0.4105263157894737,-0.039724940491933314
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.1,54,199,14,0.07035175879396985,0.25925925925925924,0.7035175879396984,0.4111111111111111,-0.04120603015075375
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.2,104,199,33,0.1658291457286432,0.3173076923076923,0.829145728643216,0.415,-0.05105527638190943
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.3,154,199,56,0.2814070351758794,0.36363636363636365,0.9380234505862647,0.4085714285714286,-0.034773869346733655
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.05,29,199,7,0.035175879396984924,0.2413793103448276,0.7035175879396984,0.40421052631578946,-0.023729172176672808
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.1,54,199,18,0.09045226130653267,0.3333333333333333,0.9045226130653267,0.4022222222222222,-0.018693467336683423
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.2,104,199,40,0.20100502512562815,0.38461538461538464,1.0050251256281406,0.3975,-0.006733668341708521
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.3,154,199,57,0.2864321608040201,0.37012987012987014,0.9547738693467338,0.4057142857142857,-0.02753768844221094
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.05,29,199,9,0.04522613065326633,0.3103448275862069,0.9045226130653267,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.1,54,199,19,0.09547738693467336,0.35185185185185186,0.9547738693467336,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.2,104,199,35,0.17587939698492464,0.33653846153846156,0.8793969849246231,0.41,-0.03839195979899501
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.3,154,199,57,0.2864321608040201,0.37012987012987014,0.9547738693467338,0.4057142857142857,-0.02753768844221094
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.05,29,199,6,0.03015075376884422,0.20689655172413793,0.6030150753768844,0.4063157894736842,-0.029061094948426236
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.1,54,199,12,0.06030150753768844,0.2222222222222222,0.6030150753768844,0.41555555555555557,-0.05246231155778891
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.2,104,199,28,0.1407035175879397,0.2692307692307692,0.7035175879396984,0.4275,-0.08271356783919592
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.3,154,199,52,0.2613065326633166,0.33766233766233766,0.8710217755443888,0.42,-0.06371859296482407
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.05,29,199,8,0.04020100502512563,0.27586206896551724,0.8040201005025125,0.40210526315789474,-0.01839724940491938
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.1,54,199,19,0.09547738693467336,0.35185185185185186,0.9547738693467336,0.4,-0.013065326633165952
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.2,104,199,38,0.19095477386934673,0.36538461538461536,0.9547738693467336,0.4025,-0.019396984924623162
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.3,154,199,59,0.2964824120603015,0.38311688311688313,0.9882747068676717,0.4,-0.013065326633165952
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,126,0,0.0,0.0,0.0,0.26359832635983266,-0.05439330543933063
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,126,1,0.007936507936507936,0.0196078431372549,0.07936507936507936,0.27593818984547464,-0.10375275938189854
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,126,6,0.047619047619047616,0.0594059405940594,0.23809523809523808,0.2977667493796526,-0.19106699751861034
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,126,18,0.14285714285714285,0.11842105263157894,0.47619047619047616,0.3068181818181818,-0.2272727272727273
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,126,17,0.1349206349206349,0.6538461538461539,2.698412698412698,0.2280334728033473,0.08786610878661083
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,126,25,0.1984126984126984,0.49019607843137253,1.984126984126984,0.2229580573951435,0.10816777041942605
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,126,34,0.2698412698412698,0.33663366336633666,1.349206349206349,0.228287841191067,0.08684863523573205
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,126,42,0.3333333333333333,0.27631578947368424,1.1111111111111112,0.23863636363636365,0.045454545454545414
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.05,26,126,0,0.0,0.0,0.0,0.26359832635983266,-0.05439330543933063
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.1,51,126,3,0.023809523809523808,0.058823529411764705,0.23809523809523808,0.271523178807947,-0.08609271523178808
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.2,101,126,8,0.06349206349206349,0.07920792079207921,0.31746031746031744,0.29280397022332505,-0.1712158808933002
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.3,152,126,19,0.15079365079365079,0.125,0.5026455026455027,0.3039772727272727,-0.21590909090909083
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.05,26,126,0,0.0,0.0,0.0,0.26359832635983266,-0.05439330543933063
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.1,51,126,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.2,101,126,6,0.047619047619047616,0.0594059405940594,0.23809523809523808,0.2977667493796526,-0.19106699751861034
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.3,152,126,19,0.15079365079365079,0.125,0.5026455026455027,0.3039772727272727,-0.21590909090909083
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,126,1,0.007936507936507936,0.038461538461538464,0.15873015873015872,0.2615062761506276,-0.046025104602510414
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,126,8,0.06349206349206349,0.1568627450980392,0.6349206349206349,0.26048565121412803,-0.04194260485651213
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,126,16,0.12698412698412698,0.15841584158415842,0.6349206349206349,0.2729528535980149,-0.09181141439205964
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,126,25,0.1984126984126984,0.16447368421052633,0.6613756613756614,0.2869318181818182,-0.1477272727272727
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.05,26,126,1,0.007936507936507936,0.038461538461538464,0.15873015873015872,0.2615062761506276,-0.046025104602510414
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.1,51,126,7,0.05555555555555555,0.13725490196078433,0.5555555555555555,0.26269315673289184,-0.050772626931567366
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.2,101,126,25,0.1984126984126984,0.24752475247524752,0.992063492063492,0.2506203473945409,-0.002481389578163684
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.3,152,126,42,0.3333333333333333,0.27631578947368424,1.1111111111111112,0.23863636363636365,0.045454545454545414
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.05,26,126,19,0.15079365079365079,0.7307692307692307,3.0158730158730154,0.22384937238493724,0.10460251046025104
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.1,51,126,35,0.2777777777777778,0.6862745098039216,2.7777777777777777,0.20088300220750552,0.19646799116997793
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.2,101,126,52,0.4126984126984127,0.5148514851485149,2.0634920634920633,0.18362282878411912,0.2655086848635235
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score__raw_global_ranking,raw_global_ranking,504,0.3,152,126,66,0.5238095238095238,0.4342105263157895,1.7460317460317463,0.17045454545454544,0.31818181818181823
