dataset,model,label,score,positives,negatives,auroc_directional,auprc
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,199,305,0.7487272427712333,0.27233357653167295
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,199,305,0.5903451684652771,0.5242691576777847
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,199,305,0.7497816953620562,0.27220850494275756
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,199,305,0.7691572617184281,0.2665389999096311
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,199,305,0.6870170524754922,0.29444052684396027
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,199,305,0.5783590081555318,0.42790141094458856
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,199,305,0.5818189307191696,0.5219144943753082
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,199,305,0.5443858637449543,0.4878974155044583
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,199,305,0.5752368399373919,0.3313781060480119
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,199,305,0.6983606557377049,0.28796500360424715
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,199,305,0.6898344179915973,0.28970110178184866
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,199,305,0.614828239558448,0.31445149428373137
consep,point_seed123,bad_dice_lt_0.65,global_mean_entropy__area_ranked,199,305,0.5068292281077518,0.3898859534492618
consep,point_seed123,bad_dice_lt_0.65,global_max_entropy__area_ranked,199,305,0.5106928083038141,0.4073866289015005
consep,point_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,199,305,0.5125957657138149,0.3933695106428111
consep,point_seed123,bad_dice_lt_0.65,foreground_area_frac__area_ranked,199,305,0.5433314111541313,0.3702251459560274
consep,point_seed123,bad_dice_lt_0.65,boundary_risk_score__area_ranked,199,305,0.5356042507620068,0.357589844194491
consep,point_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,199,305,0.5407776587857318,0.4030514893845634
consep,point_seed123,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,199,305,0.5191449048521295,0.365139867800497
consep,point_seed123,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,199,305,0.5090617019523849,0.37021854117838704
consep,point_seed123,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,199,305,0.5213361891424335,0.3730750470651581
consep,point_seed123,bad_dice_lt_0.65,topology_risk_score__area_ranked,199,305,0.5106104291951561,0.39059158894373874
consep,point_seed123,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,199,305,0.5137490732350276,0.36223749031339825
consep,point_seed123,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,199,305,0.5022983771315594,0.38407682090655354
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,126,378,0.7577685395145712,0.16324240541382648
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,126,378,0.5808767951625095,0.3734239872562662
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,126,378,0.7545981355505165,0.1643343207475535
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,126,378,0.7608969513731418,0.16296794855760238
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score__raw_global_ranking,126,378,0.6706769127404049,0.18813063328131707
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score__raw_global_ranking,126,378,0.5525846140925507,0.2609865635390707
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score__raw_global_ranking,126,378,0.66921768707483,0.451390924320055
consep,point_seed123,low_boundary_dice_le_q25,boundary_dual_risk_score__raw_global_ranking,126,378,0.6159821953472747,0.4165095877007446
consep,point_seed123,low_boundary_dice_le_q25,uncertainty_cluster_score__raw_global_ranking,126,378,0.522119341563786,0.2226850923250561
consep,point_seed123,low_boundary_dice_le_q25,topology_risk_score__raw_global_ranking,126,378,0.6221025447215923,0.19573477838480186
consep,point_seed123,low_boundary_dice_le_q25,sfrm_composite_score__raw_global_ranking,126,378,0.6392038296800202,0.19019988083497075
consep,point_seed123,low_boundary_dice_le_q25,sfrm_balanced_score__raw_global_ranking,126,378,0.5009028302679096,0.23153259133218806
consep,point_seed123,low_boundary_dice_le_q25,global_mean_entropy__area_ranked,126,378,0.5313995968757874,0.2300217071432764
consep,point_seed123,low_boundary_dice_le_q25,global_max_entropy__area_ranked,126,378,0.5114323507180649,0.2650052705159979
consep,point_seed123,low_boundary_dice_le_q25,global_mean_margin_uncertainty__area_ranked,126,378,0.5119677500629882,0.24028037319683515
consep,point_seed123,low_boundary_dice_le_q25,foreground_area_frac__area_ranked,126,378,0.5141093474426808,0.250571221061609
consep,point_seed123,low_boundary_dice_le_q25,boundary_risk_score__area_ranked,126,378,0.5175422020660115,0.2290172716235107
consep,point_seed123,low_boundary_dice_le_q25,boundary_overconfidence_score__area_ranked,126,378,0.5108234651885446,0.237274591227986
consep,point_seed123,low_boundary_dice_le_q25,boundary_abnormality_score__area_ranked,126,378,0.5377928949357521,0.25977315132077766
consep,point_seed123,low_boundary_dice_le_q25,boundary_dual_risk_score__area_ranked,126,378,0.5176366843033511,0.25101988900073147
consep,point_seed123,low_boundary_dice_le_q25,uncertainty_cluster_score__area_ranked,126,378,0.5071386579323087,0.23833477936139708
consep,point_seed123,low_boundary_dice_le_q25,topology_risk_score__area_ranked,126,378,0.5652767279751406,0.29582656108996663
consep,point_seed123,low_boundary_dice_le_q25,sfrm_composite_score__area_ranked,126,378,0.5004199210548417,0.23452741018626544
consep,point_seed123,low_boundary_dice_le_q25,sfrm_balanced_score__area_ranked,126,378,0.555419081212732,0.28013067915057105
consep,point_seed123,high_error_ge_q0.75,global_mean_entropy__raw_global_ranking,126,378,0.9588057445200302,0.8711691047211669
consep,point_seed123,high_error_ge_q0.75,global_max_entropy__raw_global_ranking,126,378,0.5432728647014362,0.21637351397852705
consep,point_seed123,high_error_ge_q0.75,global_mean_margin_uncertainty__raw_global_ranking,126,378,0.9610733182161754,0.87987309431118
consep,point_seed123,high_error_ge_q0.75,foreground_area_frac__raw_global_ranking,126,378,0.9370958259847149,0.8128760401120957
consep,point_seed123,high_error_ge_q0.75,boundary_risk_score__raw_global_ranking,126,378,0.8219429747207524,0.5755437781121355
consep,point_seed123,high_error_ge_q0.75,boundary_overconfidence_score__raw_global_ranking,126,378,0.6426051902242379,0.19096997793569975
consep,point_seed123,high_error_ge_q0.75,boundary_abnormality_score__raw_global_ranking,126,378,0.5199462501049803,0.23671855438026565
consep,point_seed123,high_error_ge_q0.75,boundary_dual_risk_score__raw_global_ranking,126,378,0.5422230620643318,0.2456030092198097
consep,point_seed123,high_error_ge_q0.75,uncertainty_cluster_score__raw_global_ranking,126,378,0.8398945998152347,0.7214080195922168
consep,point_seed123,high_error_ge_q0.75,topology_risk_score__raw_global_ranking,126,378,0.9037855883093978,0.7285607971092338
consep,point_seed123,high_error_ge_q0.75,sfrm_composite_score__raw_global_ranking,126,378,0.923217435122197,0.7930374259456547
