dataset,model,label,score,ranking_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,199,1,0.005025125628140704,0.038461538461538464,0.10050251256281406,0.41422594142259417,-0.04909484661802743
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,199,5,0.02512562814070352,0.09803921568627451,0.25125628140703515,0.4282560706401766,-0.0846284402143167
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,199,12,0.06030150753768844,0.1188118811881188,0.3015075376884422,0.4640198511166253,-0.17520605508934262
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,199,24,0.12060301507537688,0.15789473684210525,0.4020100502512563,0.4971590909090909,-0.2591365920511648
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,199,24,0.12060301507537688,0.9230769230769231,2.4120603015075375,0.36610878661087864,0.07276970627194546
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,199,33,0.1658291457286432,0.6470588235294118,1.658291457286432,0.36644591611479027,0.07191587074445072
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,199,62,0.31155778894472363,0.6138613861386139,1.5577889447236182,0.3399503722084367,0.13902016284898433
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,199,96,0.4824120603015075,0.631578947368421,1.6080402010050252,0.29261363636363635,0.2589081772498858
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.05,26,199,3,0.01507537688442211,0.11538461538461539,0.3015075376884422,0.4100418410041841,-0.038497928975421036
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.1,51,199,5,0.02512562814070352,0.09803921568627451,0.25125628140703515,0.4282560706401766,-0.0846284402143167
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.2,101,199,13,0.06532663316582915,0.12871287128712872,0.32663316582914576,0.46153846153846156,-0.16892153073057603
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.3,152,199,24,0.12060301507537688,0.15789473684210525,0.4020100502512563,0.4971590909090909,-0.2591365920511648
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.05,26,199,4,0.020100502512562814,0.15384615384615385,0.40201005025125625,0.40794979079497906,-0.03319947015411784
