dataset,model,label,score,positives,negatives,auroc_directional,auprc
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,199,305,0.7547409177032705,0.2708483334955824
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,199,305,0.7284455062196228,0.6322787819909185
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,199,305,0.7525990608781613,0.27221748669212575
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,199,305,0.8186671060219128,0.2569694984903906
consep,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,199,305,0.5003871818106929,0.4323577901180282
consep,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,199,305,0.6355630612076778,0.3136162675166927
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__raw_global_ranking,199,305,0.5477798830216657,0.4161014968580831
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__raw_global_ranking,199,305,0.5693055441140127,0.35634388786058147
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__raw_global_ranking,199,305,0.5133536535134691,0.37168235473014977
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__raw_global_ranking,199,305,0.668366422275311,0.29637425128856576
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__raw_global_ranking,199,305,0.5607875442787709,0.34236804573893287
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__raw_global_ranking,199,305,0.6269544443529121,0.32283801125769407
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__area_ranked,199,305,0.6317406705659444,0.5217720049014721
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__area_ranked,199,305,0.5859873136172666,0.460412381866445
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,199,305,0.6318230496746025,0.5173392166491126
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__area_ranked,199,305,0.5091440810610429,0.37729857019654767
consep,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score__area_ranked,199,305,0.5971496828404317,0.4794296459447094
consep,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,199,305,0.5826427218057499,0.33523629507536645
