dataset,model,label,score,ranking_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,point_seed7,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,168,0.05,9,19,9,0.47368421052631576,1.0,9.473684210526315,0.06289308176100629,0.4438927507447865
monuseg,point_seed7,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,168,0.1,17,19,11,0.5789473684210527,0.6470588235294118,5.7894736842105265,0.052980132450331126,0.5315440920181248
monuseg,point_seed7,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,168,0.2,34,19,11,0.5789473684210527,0.3235294117647059,2.8947368421052633,0.05970149253731343,0.4721131186174391
monuseg,point_seed7,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,168,0.3,51,19,11,0.5789473684210527,0.21568627450980393,1.929824561403509,0.06837606837606838,0.3954116059379217
monuseg,point_seed7,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,168,0.05,9,19,0,0.0,0.0,0.0,0.11949685534591195,-0.05660377358490565
monuseg,point_seed7,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,168,0.1,17,19,0,0.0,0.0,0.0,0.12582781456953643,-0.11258278145695377
monuseg,point_seed7,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,168,0.2,34,19,9,0.47368421052631576,0.2647058823529412,2.3684210526315788,0.07462686567164178,0.340141398271799
monuseg,point_seed7,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,168,0.3,51,19,11,0.5789473684210527,0.21568627450980393,1.929824561403509,0.06837606837606838,0.3954116059379217
monuseg,point_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,168,0.05,9,19,9,0.47368421052631576,1.0,9.473684210526315,0.06289308176100629,0.4438927507447865
monuseg,point_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,168,0.1,17,19,11,0.5789473684210527,0.6470588235294118,5.7894736842105265,0.052980132450331126,0.5315440920181248
