dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc,run
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,0,43,125,0.8373953488372092,0.8373953488372092,0.7629560716781845,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,0,43,125,0.6037209302325581,0.6037209302325581,0.2964146355129131,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,0,43,125,0.8347906976744187,0.8347906976744187,0.7578826510026988,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,0,43,125,0.8154418604651162,0.8154418604651162,0.685269076693646,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,0,43,125,0.6200930232558141,0.6200930232558141,0.3201997482929407,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,0,43,125,0.3567441860465116,0.6432558139534884,0.1973436554118816,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,0,43,125,0.6188837209302325,0.6188837209302325,0.3534193803626422,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,0,43,125,0.5285581395348837,0.5285581395348837,0.2565716263110652,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,0,43,125,0.8311627906976744,0.8311627906976744,0.7613890182640979,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,0,43,125,0.8362790697674417,0.8362790697674417,0.7475406789997973,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,0,43,125,0.8684651162790699,0.8684651162790699,0.8196324406744387,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,0,43,125,0.8274418604651163,0.8274418604651163,0.6769966393039746,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,5,43,125,0.8174883720930232,0.8174883720930232,0.7072826093285175,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,5,43,125,0.8146976744186047,0.8146976744186047,0.7064946172841589,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,5,43,125,0.7670697674418605,0.7670697674418605,0.6173884420822533,stage3_predictor_monuseg_point_seed42
