dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,run
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,43,16,0.3720930232558139,0.9411764705882352,3.72093023255814,0.1788079470198675,0.3014015093177267,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,43,25,0.5813953488372093,0.7352941176470589,2.9069767441860463,0.1343283582089552,0.4751822283929191,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.05,9,43,0,0.0,0.0,0.0,0.270440251572327,-0.0566037735849056,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.1,17,43,2,0.0465116279069767,0.1176470588235294,0.4651162790697674,0.271523178807947,-0.0608347451101187,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.2,34,43,12,0.2790697674418604,0.3529411764705882,1.395348837209302,0.2313432835820895,0.0961471711211384,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.3,51,43,17,0.3953488372093023,0.3333333333333333,1.317829457364341,0.2222222222222222,0.1317829457364341,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,43,16,0.3720930232558139,0.9411764705882352,3.72093023255814,0.1788079470198675,0.3014015093177267,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,43,25,0.5813953488372093,0.7352941176470589,2.9069767441860463,0.1343283582089552,0.4751822283929191,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,43,8,0.1860465116279069,0.8888888888888888,3.72093023255814,0.220125786163522,0.1399736726634487,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,43,14,0.3255813953488372,0.8235294117647058,3.255813953488372,0.1920529801324503,0.2496534729708915,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.05,9,43,3,0.0697674418604651,0.3333333333333333,1.395348837209302,0.2515723270440251,0.0171127687582272,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.1,17,43,5,0.1162790697674418,0.2941176470588235,1.1627906976744184,0.2516556291390728,0.0167873094101338,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.2,34,43,11,0.2558139534883721,0.3235294117647059,1.2790697674418603,0.2388059701492537,0.0669906282540784,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.3,51,43,19,0.4418604651162791,0.3725490196078431,1.4728682170542635,0.2051282051282051,0.1985688729874776,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.05,9,43,0,0.0,0.0,0.0,0.270440251572327,-0.0566037735849056,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.1,17,43,1,0.0232558139534883,0.0588235294117647,0.2325581395348837,0.2781456953642384,-0.0867087632835361,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.2,34,43,4,0.0930232558139534,0.1176470588235294,0.4651162790697674,0.291044776119403,-0.137105171815342,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.3,51,43,8,0.1860465116279069,0.1568627450980392,0.6201550387596899,0.2991452991452991,-0.1687537268932617,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.05,9,43,3,0.0697674418604651,0.3333333333333333,1.395348837209302,0.2515723270440251,0.0171127687582272,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.1,17,43,5,0.1162790697674418,0.2941176470588235,1.1627906976744184,0.2516556291390728,0.0167873094101338,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.2,34,43,13,0.3023255813953488,0.3823529411764705,1.511627906976744,0.2238805970149253,0.1253037139881984,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.3,51,43,22,0.5116279069767442,0.4313725490196078,1.7054263565891474,0.1794871794871795,0.2987477638640429,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.05,9,43,1,0.0232558139534883,0.1111111111111111,0.4651162790697674,0.2641509433962264,-0.0320315928038614,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.1,17,43,2,0.0465116279069767,0.1176470588235294,0.4651162790697674,0.271523178807947,-0.0608347451101187,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.2,34,43,6,0.1395348837209302,0.1764705882352941,0.6976744186046511,0.2761194029850746,-0.0787920860812219,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.3,51,43,11,0.2558139534883721,0.2156862745098039,0.8527131782945737,0.2735042735042735,-0.0685748360166966,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.1854304635761589,0.2755274911443092,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.2,34,43,26,0.6046511627906976,0.7647058823529411,3.023255813953488,0.126865671641791,0.5043387712599792,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.1,17,43,16,0.3720930232558139,0.9411764705882352,3.72093023255814,0.1788079470198675,0.3014015093177267,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.1025641025641025,0.5992844364937389,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.1,17,43,17,0.3953488372093023,1.0,3.953488372093023,0.1721854304635761,0.3272755274911443,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.2,34,43,29,0.6744186046511628,0.8529411764705882,3.3720930232558137,0.1044776119402985,0.5918083998611593,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.3,51,43,33,0.7674418604651163,0.6470588235294118,2.558139534883721,0.0854700854700854,0.6660703637447822,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.05,9,43,7,0.1627906976744186,0.7777777777777778,3.255813953488372,0.2264150943396226,0.1154014918824044,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.1025641025641025,0.5992844364937389,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.1854304635761589,0.2755274911443092,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.1641791044776119,0.3585560569246788,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.1854304635761589,0.2755274911443092,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.1641791044776119,0.3585560569246788,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.05,9,43,8,0.1860465116279069,0.8888888888888888,3.72093023255814,0.220125786163522,0.1399736726634487,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.2,34,43,20,0.4651162790697674,0.5882352941176471,2.325581395348837,0.1716417910447761,0.3293995140576188,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.3,51,43,28,0.6511627906976745,0.5490196078431373,2.170542635658915,0.1282051282051282,0.4991055456171736,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,8,0.1860465116279069,0.8888888888888888,3.72093023255814,0.220125786163522,0.1399736726634487,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.1641791044776119,0.3585560569246788,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.1025641025641025,0.5992844364937389,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,14,0.3255813953488372,0.8235294117647058,3.255813953488372,0.1920529801324503,0.2496534729708915,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,22,0.5116279069767442,0.6470588235294118,2.558139534883721,0.1567164179104477,0.3877125997917389,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,30,0.6976744186046512,0.5882352941176471,2.3255813953488373,0.1111111111111111,0.5658914728682171,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,8,0.1860465116279069,0.8888888888888888,3.72093023255814,0.220125786163522,0.1399736726634487,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,22,0.5116279069767442,0.6470588235294118,2.558139534883721,0.1567164179104477,0.3877125997917389,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,8,0.1860465116279069,0.8888888888888888,3.72093023255814,0.220125786163522,0.1399736726634487,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.1641791044776119,0.3585560569246788,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.3,51,43,29,0.6744186046511628,0.5686274509803921,2.248062015503876,0.1196581196581196,0.5324985092426953,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,9,0.2093023255813953,1.0,4.186046511627907,0.2138364779874214,0.1645458534444931,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,14,0.3255813953488372,0.8235294117647058,3.255813953488372,0.1920529801324503,0.2496534729708915,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.3,51,43,30,0.6976744186046512,0.5882352941176471,2.3255813953488373,0.1111111111111111,0.5658914728682171,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,8,0.1860465116279069,0.8888888888888888,3.72093023255814,0.220125786163522,0.1399736726634487,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.1641791044776119,0.3585560569246788,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.48062015503876,0.094017094017094,0.6326774001192605,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,42,32,0.7619047619047619,0.9411764705882352,3.809523809523809,0.0746268656716417,0.7014925373134329,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,42,39,0.9285714285714286,0.7647058823529411,3.095238095238096,0.0256410256410256,0.8974358974358975,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.0566037735849056,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.1,17,42,1,0.0238095238095238,0.0588235294117647,0.238095238095238,0.271523178807947,-0.086092715231788,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.2,34,42,11,0.2619047619047619,0.3235294117647059,1.3095238095238095,0.2313432835820895,0.0746268656716417,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.3,51,42,15,0.3571428571428571,0.2941176470588235,1.1904761904761905,0.2307692307692307,0.0769230769230768,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,42,33,0.7857142857142857,0.9705882352941176,3.928571428571429,0.0671641791044776,0.7313432835820896,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,42,39,0.9285714285714286,0.7647058823529411,3.095238095238096,0.0256410256410256,0.8974358974358975,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
