dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc
consep,point_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,0,199,305,0.2512727572287668,0.7487272427712333,0.27233357653167295
consep,point_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,0,199,305,0.5903451684652771,0.5903451684652771,0.5242691576777847
consep,point_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,0,199,305,0.2502183046379438,0.7497816953620562,0.27220850494275756
consep,point_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,0,199,305,0.2308427382815718,0.7691572617184281,0.2665389999096311
consep,point_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,0,199,305,0.3129829475245078,0.6870170524754922,0.29444052684396027
consep,point_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,0,199,305,0.5783590081555318,0.5783590081555318,0.42790141094458856
consep,point_seed123,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,0,199,305,0.5818189307191696,0.5818189307191696,0.5219144943753082
consep,point_seed123,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,0,199,305,0.5443858637449543,0.5443858637449543,0.4878974155044583
consep,point_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,0,199,305,0.4247631600626081,0.5752368399373919,0.3313781060480119
consep,point_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,0,199,305,0.3016393442622951,0.6983606557377049,0.28796500360424715
consep,point_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,0,199,305,0.3101655820084027,0.6898344179915973,0.28970110178184866
consep,point_seed123,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,0,199,305,0.385171760441552,0.614828239558448,0.31445149428373137
consep,point_seed123,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,5,199,305,0.7596012851140952,0.7596012851140952,0.6612623620678384
consep,point_seed123,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,5,199,305,0.7588433973144411,0.7588433973144411,0.6568341152569904
consep,point_seed123,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,5,199,305,0.7040942417003048,0.7040942417003048,0.5923677164257763
consep,point_seed123,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,199,305,0.7275063843809211,0.7275063843809211,0.6458621333554855
consep,point_seed123,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,199,305,0.7273910536287997,0.7273910536287997,0.6453154928637356
consep,point_seed123,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,5,199,305,0.7059395337342449,0.7059395337342449,0.6638001138014239
consep,point_seed123,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,199,305,0.7234862838784084,0.7234862838784084,0.6407499926750397
consep,point_seed123,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,199,305,0.7260070846033446,0.7260070846033446,0.6429725023365118
consep,point_seed123,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,199,305,0.7029409341790922,0.7029409341790922,0.664269150459704
consep,point_seed123,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,0,126,378,0.24223146048542876,0.7577685395145712,0.16324240541382648
consep,point_seed123,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,0,126,378,0.5808767951625095,0.5808767951625095,0.3734239872562662
consep,point_seed123,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,0,126,378,0.2454018644494835,0.7545981355505165,0.1643343207475535
consep,point_seed123,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,0,126,378,0.23910304862685816,0.7608969513731418,0.16296794855760238
consep,point_seed123,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,0,126,378,0.3293230872595952,0.6706769127404049,0.18813063328131707
consep,point_seed123,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,0,126,378,0.5525846140925507,0.5525846140925507,0.2609865635390707
consep,point_seed123,low_boundary_dice_le_q25,predefined::boundary_abnormality_score,predefined_score,none,0,126,378,0.66921768707483,0.66921768707483,0.451390924320055
consep,point_seed123,low_boundary_dice_le_q25,predefined::boundary_dual_risk_score,predefined_score,none,0,126,378,0.6159821953472747,0.6159821953472747,0.4165095877007446
consep,point_seed123,low_boundary_dice_le_q25,predefined::uncertainty_cluster_score,predefined_score,none,0,126,378,0.47788065843621397,0.522119341563786,0.2226850923250561
consep,point_seed123,low_boundary_dice_le_q25,predefined::topology_risk_score,predefined_score,none,0,126,378,0.3778974552784077,0.6221025447215923,0.19573477838480186
consep,point_seed123,low_boundary_dice_le_q25,predefined::sfrm_composite_score,predefined_score,none,0,126,378,0.3607961703199798,0.6392038296800202,0.19019988083497075
consep,point_seed123,low_boundary_dice_le_q25,predefined::sfrm_balanced_score,predefined_score,none,0,126,378,0.5009028302679096,0.5009028302679096,0.23153259133218806
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,5,126,378,0.7371084236163601,0.7371084236163601,0.5808565697022662
consep,point_seed123,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,5,126,378,0.7189258419417149,0.7189258419417149,0.5375432888565163
consep,point_seed123,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,5,126,378,0.6723460989334005,0.6723460989334005,0.4917521675625135
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,126,378,0.7127110103300579,0.7127110103300579,0.6049638834463068
consep,point_seed123,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,126,378,0.7169732090367011,0.7169732090367011,0.5994280707456092
consep,point_seed123,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,5,126,378,0.6728814982783237,0.6728814982783237,0.6098320826965224
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,126,378,0.7025699168556311,0.7025699168556311,0.5748913223051357
consep,point_seed123,low_boundary_dice_le_q25,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,126,378,0.7081758629377676,0.7081758629377676,0.5769754107039948
consep,point_seed123,low_boundary_dice_le_q25,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,126,378,0.6687872679936172,0.6687872679936172,0.5963898283737199
consep,point_seed123,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,126,378,0.9588057445200302,0.9588057445200302,0.8711691047211669
consep,point_seed123,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,126,378,0.45672713529856385,0.5432728647014362,0.21637351397852705
consep,point_seed123,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,126,378,0.9610733182161754,0.9610733182161754,0.87987309431118
consep,point_seed123,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,126,378,0.9370958259847149,0.9370958259847149,0.8128760401120957
consep,point_seed123,high_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,126,378,0.8219429747207524,0.8219429747207524,0.5755437781121355
consep,point_seed123,high_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,126,378,0.3573948097757621,0.6426051902242379,0.19096997793569975
consep,point_seed123,high_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,126,378,0.5199462501049803,0.5199462501049803,0.23671855438026565
