dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.05,26,189,0,0.0,0.0,0.0,0.39539748953974896,-0.05439330543933063
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.1,51,189,3,0.015873015873015872,0.058823529411764705,0.15873015873015872,0.4105960264900662,-0.09492273730684331
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.2,101,189,11,0.0582010582010582,0.10891089108910891,0.291005291005291,0.44168734491315137,-0.17783291976840365
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,504,0.3,152,189,20,0.10582010582010581,0.13157894736842105,0.3527336860670194,0.48011363636363635,-0.2803030303030303
consep,point_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.05,26,189,21,0.1111111111111111,0.8076923076923077,2.222222222222222,0.3514644351464435,0.06276150627615074
consep,point_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.1,51,189,31,0.164021164021164,0.6078431372549019,1.64021164021164,0.3487858719646799,0.06990434142752022
consep,point_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.2,101,189,48,0.25396825396825395,0.4752475247524752,1.2698412698412698,0.34987593052109184,0.0669975186104218
consep,point_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,504,0.3,152,189,71,0.37566137566137564,0.46710526315789475,1.252204585537919,0.3352272727272727,0.10606060606060608
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.05,26,189,0,0.0,0.0,0.0,0.39539748953974896,-0.05439330543933063
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.1,51,189,4,0.021164021164021163,0.0784313725490196,0.21164021164021163,0.4083885209713024,-0.08903605592347308
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.2,101,189,14,0.07407407407407407,0.13861386138613863,0.37037037037037035,0.43424317617866004,-0.1579818031430935
consep,point_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.3,152,189,22,0.1164021164021164,0.14473684210526316,0.3880070546737213,0.4744318181818182,-0.26515151515151514
consep,point_seed7,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,504,0.05,26,189,3,0.015873015873015872,0.11538461538461539,0.31746031746031744,0.3891213389121339,-0.03765690376569042
consep,point_seed7,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,504,0.1,51,189,8,0.042328042328042326,0.1568627450980392,0.42328042328042326,0.3995584988962472,-0.0654893303899926
consep,point_seed7,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,504,0.2,101,189,9,0.047619047619047616,0.0891089108910891,0.23809523809523808,0.4466501240694789,-0.19106699751861034
consep,point_seed7,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,504,0.3,152,189,24,0.12698412698412698,0.15789473684210525,0.42328042328042326,0.46875,-0.25
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,504,0.05,26,189,2,0.010582010582010581,0.07692307692307693,0.21164021164021163,0.3912133891213389,-0.04323570432357049
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,504,0.1,51,189,6,0.031746031746031744,0.11764705882352941,0.31746031746031744,0.40397350993377484,-0.07726269315673284
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,504,0.2,101,189,17,0.08994708994708994,0.16831683168316833,0.4497354497354497,0.4267990074441687,-0.13813068651778315
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,504,0.3,152,189,39,0.20634920634920634,0.2565789473684211,0.6878306878306878,0.42613636363636365,-0.13636363636363646
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,504,0.05,26,189,10,0.05291005291005291,0.38461538461538464,1.0582010582010581,0.37447698744769875,0.001394700139469962
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,504,0.1,51,189,19,0.10052910052910052,0.37254901960784315,1.0052910052910051,0.37527593818984545,-0.0007358351729211954
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,504,0.2,101,189,47,0.24867724867724866,0.46534653465346537,1.2433862433862433,0.3523573200992556,0.06038047973531846
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,504,0.3,152,189,68,0.35978835978835977,0.4473684210526316,1.199294532627866,0.34375,0.08333333333333337
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,504,0.05,26,189,21,0.1111111111111111,0.8076923076923077,2.222222222222222,0.3514644351464435,0.06276150627615074
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,504,0.1,51,189,40,0.21164021164021163,0.7843137254901961,2.1164021164021163,0.32891832229580575,0.12288447387785129
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,504,0.2,101,189,64,0.3386243386243386,0.6336633663366337,1.693121693121693,0.31017369727047145,0.17287014061207617
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,504,0.3,152,189,82,0.43386243386243384,0.5394736842105263,1.4462081128747795,0.3039772727272727,0.18939393939393945
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,504,0.05,26,189,18,0.09523809523809523,0.6923076923076923,1.9047619047619047,0.3577405857740586,0.046025104602510414
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,504,0.1,51,189,31,0.164021164021164,0.6078431372549019,1.64021164021164,0.3487858719646799,0.06990434142752022
consep,point_seed7,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,504,0.2,101,189,58,0.30687830687830686,0.5742574257425742,1.5343915343915342,0.3250620347394541,0.13316790736145567
