dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,0,0,44,,,
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,0,11,33,0.5482093663911846,0.5482093663911846,0.32370708022881933
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,0,11,33,0.23140495867768596,0.768595041322314,0.18019882411722538
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,0,11,33,0.5619834710743802,0.5619834710743802,0.3334788400005791
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,0,11,33,0.3415977961432507,0.6584022038567493,0.20572694310609071
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,0,11,33,0.3526170798898071,0.6473829201101928,0.20242329220781344
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,0,11,33,0.6212121212121212,0.6212121212121212,0.31924417338715116
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::boundary_abnormality_score,predefined_score,none,0,11,33,0.3746556473829201,0.6253443526170799,0.23957484974352705
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::boundary_dual_risk_score,predefined_score,none,0,11,33,0.3415977961432507,0.6584022038567493,0.2201942472441455
