dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
