dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,0,25,143,0.7423776223776224,0.7423776223776224,0.5902136996249672
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,0,25,143,0.6503496503496504,0.6503496503496504,0.21194134503148562
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,0,25,143,0.7225174825174825,0.7225174825174825,0.5661925431589376
monuseg,point_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,0,25,143,0.4495104895104895,0.5504895104895104,0.14803137320501714
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,0,25,143,0.8604195804195804,0.8604195804195804,0.7456569713021733
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,0,25,143,0.16447552447552452,0.8355244755244755,0.09056342804107678
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,0,25,143,0.7188811188811188,0.7188811188811188,0.46763114978242887
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,0,25,143,0.6344055944055944,0.6344055944055944,0.25437027238575216
monuseg,point_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,0,25,143,0.6025174825174826,0.6025174825174826,0.25369249131790145
monuseg,point_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,0,25,143,0.6593006993006993,0.6593006993006993,0.41119155952192404
monuseg,point_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,0,25,143,0.7169230769230769,0.7169230769230769,0.5188539580549283
monuseg,point_seed123,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,0,25,143,0.6495104895104895,0.6495104895104895,0.40066106630353976
monuseg,point_seed123,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,5,25,143,0.8945454545454546,0.8945454545454546,0.6507188358784792
monuseg,point_seed123,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,5,25,143,0.8805594405594406,0.8805594405594406,0.6024993764700403
monuseg,point_seed123,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,5,25,143,0.47888111888111895,0.521118881118881,0.3115356803627462
monuseg,point_seed123,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,25,143,0.5555244755244756,0.5555244755244756,0.20581240704932854
monuseg,point_seed123,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,25,143,0.5272727272727273,0.5272727272727273,0.20097816135525484
monuseg,point_seed123,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,5,25,143,0.7314685314685314,0.7314685314685314,0.2777042377533182
monuseg,point_seed123,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,25,143,0.5921678321678322,0.5921678321678322,0.2182667294876755
monuseg,point_seed123,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,25,143,0.5012587412587413,0.5012587412587413,0.19475669492746242
monuseg,point_seed123,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,25,143,0.7152447552447552,0.7152447552447552,0.2664963699979164
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.5279667422524565,0.5279667422524565,0.42803199818868254
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,0,42,126,0.5151171579743008,0.5151171579743008,0.24489378973291961
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.5073696145124718,0.5073696145124718,0.42064011876959506
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.3492063492063492,0.6507936507936508,0.19495210415040068
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.7916666666666666,0.7916666666666666,0.6955092561353128
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.1678004535147392,0.8321995464852607,0.15402018199913195
monuseg,point_seed123,low_boundary_dice_le_q25,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.6319916855631142,0.6319916855631142,0.5105692566606854
