dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,25,9,0.36,1.0,7.199999999999999,0.10062893081761007,0.3237735849056603
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,25,12,0.48,0.7058823529411765,4.8,0.08609271523178808,0.4214569536423841
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,25,12,0.48,0.35294117647058826,2.4,0.09701492537313433,0.3480597014925373
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,25,12,0.48,0.23529411764705882,1.6,0.1111111111111111,0.2533333333333334
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.05,9,25,0,0.0,0.0,0.0,0.15723270440251572,-0.05660377358490565
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.1,17,25,0,0.0,0.0,0.0,0.16556291390728478,-0.11258278145695377
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.2,34,25,10,0.4,0.29411764705882354,2.0,0.11194029850746269,0.24776119402985075
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.3,51,25,13,0.52,0.2549019607843137,1.7333333333333334,0.10256410256410256,0.3107692307692308
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,25,9,0.36,1.0,7.199999999999999,0.10062893081761007,0.3237735849056603
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,25,12,0.48,0.7058823529411765,4.8,0.08609271523178808,0.4214569536423841
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,25,12,0.48,0.35294117647058826,2.4,0.09701492537313433,0.3480597014925373
monuseg,point_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,25,12,0.48,0.23529411764705882,1.6,0.1111111111111111,0.2533333333333334
monuseg,point_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,25,0,0.0,0.0,0.0,0.15723270440251572,-0.05660377358490565
monuseg,point_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,25,3,0.12,0.17647058823529413,1.2,0.1456953642384106,0.02092715231788078
monuseg,point_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.2,34,25,6,0.24,0.17647058823529413,1.2,0.1417910447761194,0.04716417910447768
monuseg,point_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.3,51,25,9,0.36,0.17647058823529413,1.2,0.13675213675213677,0.08102564102564092
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.05,9,25,9,0.36,1.0,7.199999999999999,0.10062893081761007,0.3237735849056603
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.1,17,25,14,0.56,0.8235294117647058,5.6000000000000005,0.0728476821192053,0.5104635761589404
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.2,34,25,18,0.72,0.5294117647058824,3.5999999999999996,0.05223880597014925,0.648955223880597
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.3,51,25,20,0.8,0.39215686274509803,2.666666666666667,0.042735042735042736,0.7128205128205127
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.05,9,25,0,0.0,0.0,0.0,0.15723270440251572,-0.05660377358490565
monuseg,point_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.1,17,25,0,0.0,0.0,0.0,0.16556291390728478,-0.11258278145695377
