dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,18,1,0.05555555555555555,0.1111111111111111,1.111111111111111,0.1069182389937107,0.002096436058700135
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,18,3,0.16666666666666666,0.17647058823529413,1.6666666666666665,0.09933774834437085,0.07284768211920534
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,18,5,0.2777777777777778,0.14705882352941177,1.3888888888888888,0.09701492537313433,0.0945273631840795
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,18,5,0.2777777777777778,0.09803921568627451,0.925925925925926,0.1111111111111111,-0.03703703703703698
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.1,17,18,0,0.0,0.0,0.0,0.11920529801324503,-0.11258278145695377
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.2,34,18,4,0.2222222222222222,0.11764705882352941,1.111111111111111,0.1044776119402985,0.02487562189054726
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.3,51,18,9,0.5,0.17647058823529413,1.6666666666666667,0.07692307692307693,0.28205128205128194
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,18,0,0.0,0.0,0.0,0.11920529801324503,-0.11258278145695377
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,18,1,0.05555555555555555,0.029411764705882353,0.27777777777777773,0.12686567164179105,-0.1840796019900499
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,18,5,0.2777777777777778,0.09803921568627451,0.925925925925926,0.1111111111111111,-0.03703703703703698
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,18,0,0.0,0.0,0.0,0.11920529801324503,-0.11258278145695377
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.2,34,18,0,0.0,0.0,0.0,0.13432835820895522,-0.25373134328358216
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.3,51,18,0,0.0,0.0,0.0,0.15384615384615385,-0.4358974358974361
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.05,9,18,8,0.4444444444444444,0.8888888888888888,8.888888888888888,0.06289308176100629,0.4129979035639413
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.1,17,18,11,0.6111111111111112,0.6470588235294118,6.111111111111112,0.046357615894039736,0.5673289183222958
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.2,34,18,17,0.9444444444444444,0.5,4.722222222222221,0.007462686567164179,0.9303482587064676
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.3,51,18,18,1.0,0.35294117647058826,3.3333333333333335,0.0,1.0
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.1,17,18,0,0.0,0.0,0.0,0.11920529801324503,-0.11258278145695377
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.2,34,18,0,0.0,0.0,0.0,0.13432835820895522,-0.25373134328358216
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.3,51,18,0,0.0,0.0,0.0,0.15384615384615385,-0.4358974358974361
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.05,9,18,9,0.5,1.0,10.0,0.05660377358490566,0.4716981132075472
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.1,17,18,13,0.7222222222222222,0.7647058823529411,7.222222222222221,0.033112582781456956,0.6909492273730684
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.2,34,18,16,0.8888888888888888,0.47058823529411764,4.444444444444444,0.014925373134328358,0.8606965174129353
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.3,51,18,17,0.9444444444444444,0.3333333333333333,3.1481481481481484,0.008547008547008548,0.9202279202279202
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.05,9,18,8,0.4444444444444444,0.8888888888888888,8.888888888888888,0.06289308176100629,0.4129979035639413
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.1,17,18,9,0.5,0.5294117647058824,5.0,0.059602649006622516,0.4437086092715231
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.2,34,18,11,0.6111111111111112,0.3235294117647059,3.055555555555556,0.05223880597014925,0.5124378109452736
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.3,51,18,13,0.7222222222222222,0.2549019607843137,2.4074074074074074,0.042735042735042736,0.6011396011396011
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.1,17,18,1,0.05555555555555555,0.058823529411764705,0.5555555555555555,0.11258278145695365,-0.050772626931567366
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.2,34,18,2,0.1111111111111111,0.058823529411764705,0.5555555555555555,0.11940298507462686,-0.11442786069651745
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.3,51,18,2,0.1111111111111111,0.0392156862745098,0.37037037037037035,0.13675213675213677,-0.27635327635327656
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.1,17,18,0,0.0,0.0,0.0,0.11920529801324503,-0.11258278145695377
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.2,34,18,3,0.16666666666666666,0.08823529411764706,0.8333333333333333,0.11194029850746269,-0.044776119402985204
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.3,51,18,5,0.2777777777777778,0.09803921568627451,0.925925925925926,0.1111111111111111,-0.03703703703703698
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.05,9,18,2,0.1111111111111111,0.2222222222222222,2.222222222222222,0.10062893081761007,0.06079664570230603
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.1,17,18,2,0.1111111111111111,0.11764705882352941,1.111111111111111,0.10596026490066225,0.01103752759381893
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.2,34,18,5,0.2777777777777778,0.14705882352941177,1.3888888888888888,0.09701492537313433,0.0945273631840795
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.3,51,18,5,0.2777777777777778,0.09803921568627451,0.925925925925926,0.1111111111111111,-0.03703703703703698
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.05,9,18,0,0.0,0.0,0.0,0.11320754716981132,-0.05660377358490565
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.1,17,18,1,0.05555555555555555,0.058823529411764705,0.5555555555555555,0.11258278145695365,-0.050772626931567366
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.2,34,18,2,0.1111111111111111,0.058823529411764705,0.5555555555555555,0.11940298507462686,-0.11442786069651745
monuseg,prototype_seed123,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.3,51,18,5,0.2777777777777778,0.09803921568627451,0.925925925925926,0.1111111111111111,-0.03703703703703698
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.05,9,18,6,0.3333333333333333,0.6666666666666666,6.666666666666666,0.07547169811320754,0.2955974842767295
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.1,17,18,11,0.6111111111111112,0.6470588235294118,6.111111111111112,0.046357615894039736,0.5673289183222958
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.2,34,18,16,0.8888888888888888,0.47058823529411764,4.444444444444444,0.014925373134328358,0.8606965174129353
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.3,51,18,18,1.0,0.35294117647058826,3.3333333333333335,0.0,1.0
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.05,9,18,5,0.2777777777777778,0.5555555555555556,5.555555555555555,0.08176100628930817,0.2368972746331237
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.1,17,18,11,0.6111111111111112,0.6470588235294118,6.111111111111112,0.046357615894039736,0.5673289183222958
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.2,34,18,16,0.8888888888888888,0.47058823529411764,4.444444444444444,0.014925373134328358,0.8606965174129353
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.3,51,18,18,1.0,0.35294117647058826,3.3333333333333335,0.0,1.0
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.05,9,18,1,0.05555555555555555,0.1111111111111111,1.111111111111111,0.1069182389937107,0.002096436058700135
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.1,17,18,4,0.2222222222222222,0.23529411764705882,2.222222222222222,0.09271523178807947,0.13465783664459152
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.2,34,18,11,0.6111111111111112,0.3235294117647059,3.055555555555556,0.05223880597014925,0.5124378109452736
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.3,51,18,18,1.0,0.35294117647058826,3.3333333333333335,0.0,1.0
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.05,9,18,9,0.5,1.0,10.0,0.05660377358490566,0.4716981132075472
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.1,17,18,13,0.7222222222222222,0.7647058823529411,7.222222222222221,0.033112582781456956,0.6909492273730684
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.2,34,18,17,0.9444444444444444,0.5,4.722222222222221,0.007462686567164179,0.9303482587064676
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.3,51,18,17,0.9444444444444444,0.3333333333333333,3.1481481481481484,0.008547008547008548,0.9202279202279202
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.05,9,18,9,0.5,1.0,10.0,0.05660377358490566,0.4716981132075472
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.1,17,18,15,0.8333333333333334,0.8823529411764706,8.333333333333334,0.019867549668874173,0.814569536423841
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.2,34,18,17,0.9444444444444444,0.5,4.722222222222221,0.007462686567164179,0.9303482587064676
monuseg,prototype_seed123,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.3,51,18,17,0.9444444444444444,0.3333333333333333,3.1481481481481484,0.008547008547008548,0.9202279202279202
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.05,9,18,8,0.4444444444444444,0.8888888888888888,8.888888888888888,0.06289308176100629,0.4129979035639413
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.1,17,18,11,0.6111111111111112,0.6470588235294118,6.111111111111112,0.046357615894039736,0.5673289183222958
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.2,34,18,17,0.9444444444444444,0.5,4.722222222222221,0.007462686567164179,0.9303482587064676
monuseg,prototype_seed123,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.3,51,18,18,1.0,0.35294117647058826,3.3333333333333335,0.0,1.0
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,18,8,0.4444444444444444,0.8888888888888888,8.888888888888888,0.06289308176100629,0.4129979035639413
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,18,12,0.6666666666666666,0.7058823529411765,6.666666666666666,0.039735099337748346,0.629139072847682
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,18,17,0.9444444444444444,0.5,4.722222222222221,0.007462686567164179,0.9303482587064676
