dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,0,69,99,0.36275801493192794,0.6372419850680721,0.38175514036671243
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,0,69,99,0.5100278143756405,0.5100278143756405,0.3916377185073262
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,0,69,99,0.31342409603279164,0.6865759039672084,0.31394510623646954
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,0,69,99,0.1288244766505636,0.8711755233494364,0.26129424590486006
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,0,69,99,0.7962231005709267,0.7962231005709267,0.805736549033816
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,0,69,99,0.15129556433904257,0.8487044356609574,0.26635428801673383
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,0,69,99,0.6544429805299371,0.6544429805299371,0.5676485961252087
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,0,69,99,0.5211535646318255,0.5211535646318255,0.41146076452072433
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,0,69,99,0.2889767237593325,0.7110232762406675,0.3043898873542974
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,0,69,99,0.43544137022397894,0.564558629776021,0.3572076651274109
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,0,69,99,0.4591567852437418,0.5408432147562582,0.40556598687432144
monuseg,prototype_seed7,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,0,69,99,0.36919923876445615,0.6308007612355438,0.33068074279926174
monuseg,prototype_seed7,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,5,69,99,0.8397013614404918,0.8397013614404918,0.7759812715439464
monuseg,prototype_seed7,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,5,69,99,0.8458498023715415,0.8458498023715415,0.783440144525876
monuseg,prototype_seed7,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,5,69,99,0.7190748060313278,0.7190748060313278,0.5523850546483982
monuseg,prototype_seed7,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,69,99,0.7891963109354414,0.7891963109354414,0.7352494442385097
monuseg,prototype_seed7,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,69,99,0.7865612648221343,0.7865612648221343,0.7555906109813857
monuseg,prototype_seed7,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,5,69,99,0.760942760942761,0.760942760942761,0.6581517639332544
monuseg,prototype_seed7,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,69,99,0.7758746889181672,0.7758746889181672,0.7380185977335851
monuseg,prototype_seed7,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,69,99,0.7821695212999562,0.7821695212999562,0.7536966443893014
monuseg,prototype_seed7,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,69,99,0.767823159127507,0.767823159127507,0.6653896843120344
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.33276643990929705,0.6672335600907029,0.18331908859121254
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,0,42,126,0.4264928193499622,0.5735071806500378,0.20779415951955432
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.29459561602418743,0.7054043839758126,0.1753424415445405
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.25547996976568405,0.744520030234316,0.16916268291666456
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.7058767951625096,0.7058767951625096,0.5019045726594448
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.2570861678004535,0.7429138321995465,0.17109804736431647
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.6275510204081632,0.6275510204081632,0.40469023359733725
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.5679327286470144,0.5679327286470144,0.2902411404831585
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.24650415721844293,0.753495842781557,0.166948278803928
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::topology_risk_score,predefined_score,none,0,42,126,0.39512471655328796,0.604875283446712,0.19942113928678593
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.4077853363567649,0.592214663643235,0.2021014800323513
monuseg,prototype_seed7,low_boundary_dice_le_q25,predefined::sfrm_balanced_score,predefined_score,none,0,42,126,0.3498677248677248,0.6501322751322751,0.18780261820667532
monuseg,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,5,42,126,0.6286848072562359,0.6286848072562359,0.2910700952606678
monuseg,prototype_seed7,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,5,42,126,0.6307634164777023,0.6307634164777023,0.29142665656977507
monuseg,prototype_seed7,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,5,42,126,0.5708616780045351,0.5708616780045351,0.31839749753939445
monuseg,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,42,126,0.6543839758125473,0.6543839758125473,0.36387852186395436
monuseg,prototype_seed7,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,42,126,0.6615646258503401,0.6615646258503401,0.37869093471695925
monuseg,prototype_seed7,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.5521541950113379,0.5521541950113379,0.27468176244123693
monuseg,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.6502267573696145,0.6502267573696145,0.3476910835325937
