dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero,run
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.3095238095238095,0.0,0.3095238095238095,0.1818181818181818,0.4546401515151509,True,stage4_bootstrap_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.4047619047619047,0.0238095238095238,0.3809523809523809,0.0,0.8245098039215677,False,stage4_bootstrap_monuseg_point_seed42
MoNuSeg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,43,0.3488372093023256,0.3023255813953488,0.0465116279069767,0.0,0.1379310344827586,False,stage4_bootstrap_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,predefined::boundary_overconfidence_score,predefined::global_mean_entropy,Boundary overconfidence captures review-budget global-entropy misses.,0.1,168,14,8,0.625,0.0,0.625,0.0,1.0,False,stage4_bootstrap_monuseg_point_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.1904761904761904,0.1428571428571428,0.0476190476190476,-0.2068965517241379,0.2954755892255891,False,stage4_bootstrap_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.3809523809523809,0.0,0.3809523809523809,0.1219512195121951,0.576973684210526,True,stage4_bootstrap_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,31,0.1612903225806451,0.3870967741935484,-0.2258064516129032,-0.5,0.0555555555555555,False,stage4_bootstrap_monuseg_proto_seed42
CoNSeP,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.2142857142857142,0.1587301587301587,0.0555555555555555,-0.1300108695652174,0.2393162393162393,False,stage4_bootstrap_consep_grid_point_seed42
CoNSeP,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.1984126984126984,0.2222222222222222,-0.0238095238095238,-0.2068965517241379,0.1884057971014492,False,stage4_bootstrap_consep_grid_point_seed42
CoNSeP,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,255,0.2,0.1764705882352941,0.0235294117647058,-0.034486074270557,0.0588297344254157,False,stage4_bootstrap_consep_grid_point_seed42
CoNSeP,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.2222222222222222,0.1031746031746031,0.119047619047619,-0.014722850678733,0.2783537778937753,False,stage4_bootstrap_consep_grid_proto_seed42
CoNSeP,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.3174603174603174,0.1587301587301587,0.1587301587301587,0.0260813343328336,0.2921391529818495,True,stage4_bootstrap_consep_grid_proto_seed42
CoNSeP,prototype_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,199,0.2562814070351759,0.2060301507537688,0.050251256281407,-0.0558877134593288,0.1607383447390931,False,stage4_bootstrap_consep_grid_proto_seed42
CoNSeP,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,Core CoNSeP prototype recall-doubling claim.,0.1,504,14,126,0.3174603174603174,0.1587301587301587,0.1587301587301587,0.0243687230989956,0.3106186868686868,True,stage4_bootstrap_consep_grid_proto_seed42
