dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,dataset_short,model_family,seed,run_prefix
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,43,16,0.37209302325581395,0.9411764705882353,3.7209302325581395,0.17880794701986755,0.3014015093177267,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,43,25,0.5813953488372093,0.7352941176470589,2.9069767441860463,0.13432835820895522,0.4751822283929191,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.05,9,43,0,0.0,0.0,0.0,0.27044025157232704,-0.05660377358490565,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.1,17,43,2,0.046511627906976744,0.11764705882352941,0.46511627906976744,0.271523178807947,-0.06083474511011877,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.2,34,43,12,0.27906976744186046,0.35294117647058826,1.3953488372093021,0.23134328358208955,0.09614717112113846,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.3,51,43,17,0.3953488372093023,0.3333333333333333,1.317829457364341,0.2222222222222222,0.13178294573643412,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,43,16,0.37209302325581395,0.9411764705882353,3.7209302325581395,0.17880794701986755,0.3014015093177267,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,43,25,0.5813953488372093,0.7352941176470589,2.9069767441860463,0.13432835820895522,0.4751822283929191,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605,monuseg,point,42,monuseg_point_seed42
