dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero,dataset_short,model_family,seed,run_prefix
monuseg,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.30952380952380953,0.0,0.30952380952380953,0.18181818181818182,0.45464015151515097,True,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.40476190476190477,0.023809523809523808,0.38095238095238093,0.0,0.8245098039215677,False,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.40476190476190477,0.40476190476190477,0.0,0.0,0.05555555555555558,False,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.30952380952380953,0.14285714285714285,0.16666666666666669,-0.034513546798029565,0.2647058823529411,False,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,43,0.3488372093023256,0.3023255813953488,0.04651162790697677,0.0,0.1389880952380947,False,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,gray_high_dice_high_boundary_error,predefined::boundary_overconfidence_score,predefined::global_mean_entropy,Boundary overconfidence captures review-budget global-entropy misses.,0.1,168,14,8,0.625,0.0,0.625,0.0,1.0,False,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.14285714285714285,0.047619047619047616,0.09523809523809523,-0.09090909090909091,0.22730519480519462,False,monuseg,point,7,monuseg_point_seed7
monuseg,point_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.35714285714285715,0.0,0.35714285714285715,0.0,0.6470588235294118,False,monuseg,point,7,monuseg_point_seed7
monuseg,point_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.35714285714285715,0.38095238095238093,-0.02380952380952378,-0.16666666666666663,0.1539062499999997,False,monuseg,point,7,monuseg_point_seed7
monuseg,point_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.14285714285714285,0.07142857142857142,0.07142857142857142,-0.08695652173913043,0.15789473684210525,False,monuseg,point,7,monuseg_point_seed7
monuseg,point_seed7,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,19,0.6842105263157895,0.2631578947368421,0.4210526315789474,-0.09090909090909088,0.8349358974358975,False,monuseg,point,7,monuseg_point_seed7
monuseg,point_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.16666666666666666,0.09523809523809523,0.07142857142857142,-0.17647058823529413,0.26666666666666666,False,monuseg,point,123,monuseg_point_seed123
monuseg,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.2857142857142857,0.0,0.2857142857142857,0.0,0.5909090909090909,False,monuseg,point,123,monuseg_point_seed123
monuseg,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.2857142857142857,0.16666666666666666,0.11904761904761904,-0.024999999999999967,0.37048611111111046,False,monuseg,point,123,monuseg_point_seed123
monuseg,point_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.16666666666666666,0.16666666666666666,0.0,-0.15999999999999998,0.18181818181818182,False,monuseg,point,123,monuseg_point_seed123
monuseg,point_seed123,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,25,0.4,0.2,0.2,-0.2222222222222222,0.5,False,monuseg,point,123,monuseg_point_seed123
monuseg,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.19047619047619047,0.14285714285714285,0.047619047619047616,-0.20689655172413793,0.29547558922558914,False,monuseg,proto,42,monuseg_proto_seed42
monuseg,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.38095238095238093,0.0,0.38095238095238093,0.12195121951219515,0.576973684210526,True,monuseg,proto,42,monuseg_proto_seed42
monuseg,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.38095238095238093,0.2857142857142857,0.09523809523809523,-0.11538461538461536,0.25,False,monuseg,proto,42,monuseg_proto_seed42
monuseg,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.19047619047619047,0.14285714285714285,0.047619047619047616,-0.25,0.2889035087719298,False,monuseg,proto,42,monuseg_proto_seed42
monuseg,prototype_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,31,0.16129032258064516,0.3870967741935484,-0.22580645161290322,-0.5,0.06393385753931549,False,monuseg,proto,42,monuseg_proto_seed42
monuseg,prototype_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.19047619047619047,0.16666666666666666,0.023809523809523808,-0.26472088835534213,0.230833333333333,False,monuseg,proto,7,monuseg_proto_seed7
monuseg,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.19047619047619047,0.0,0.19047619047619047,0.0,0.42857142857142855,False,monuseg,proto,7,monuseg_proto_seed7
monuseg,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.19047619047619047,0.07142857142857142,0.11904761904761904,-0.08113738738738739,0.2692307692307692,False,monuseg,proto,7,monuseg_proto_seed7
monuseg,prototype_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.19047619047619047,0.21428571428571427,-0.023809523809523808,-0.2857142857142857,0.13333333333333336,False,monuseg,proto,7,monuseg_proto_seed7
monuseg,prototype_seed7,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,69,0.21739130434782608,0.2028985507246377,0.014492753623188387,-0.05405405405405406,0.07695312499999984,False,monuseg,proto,7,monuseg_proto_seed7
monuseg,prototype_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,168,14,42,0.19047619047619047,0.09523809523809523,0.09523809523809523,-0.054545454545454564,0.2727272727272727,False,monuseg,proto,123,monuseg_proto_seed123
monuseg,prototype_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,168,14,42,0.3333333333333333,0.0,0.3333333333333333,0.0625,0.5666666666666667,True,monuseg,proto,123,monuseg_proto_seed123
monuseg,prototype_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,168,14,42,0.3333333333333333,0.30952380952380953,0.02380952380952378,-0.19999999999999998,0.16666666666666666,False,monuseg,proto,123,monuseg_proto_seed123
monuseg,prototype_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,168,14,42,0.19047619047619047,0.16666666666666666,0.023809523809523808,-0.13513513513513514,0.24999999999999997,False,monuseg,proto,123,monuseg_proto_seed123
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,18,0.6111111111111112,0.7222222222222222,-0.11111111111111105,-0.5,1.0,False,monuseg,proto,123,monuseg_proto_seed123
