dataset,model_family,seed,run_prefix,comparison,endpoint,score_a,score_b,n_patches,n_sources,positives,score_a_recall_10pct,score_b_recall_10pct,recall_diff,ci95_low,ci95_high,bootstrap_p_two_sided,ci_excludes_zero
monuseg,point,42,monuseg_point_seed42,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.40476190476190477,0.023809523809523808,0.38095238095238093,0.0,0.8235294117647058,0.07488986784140969,False
monuseg,point,42,monuseg_point_seed42,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.40476190476190477,0.40476190476190477,0.0,0.0,0.0625,1.0,False
monuseg,point,42,monuseg_point_seed42,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.30952380952380953,0.0,0.30952380952380953,0.17391304347826086,0.4595114345114338,0.0,True
monuseg,point,7,monuseg_point_seed7,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.35714285714285715,0.0,0.35714285714285715,0.011607142857142972,0.6428571428571429,0.05,True
monuseg,point,7,monuseg_point_seed7,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.35714285714285715,0.38095238095238093,-0.02380952380952378,-0.142989417989418,0.19047619047619047,0.9976,False
monuseg,point,7,monuseg_point_seed7,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.14285714285714285,0.047619047619047616,0.09523809523809523,-0.09090909090909091,0.22227011494252802,0.386,False
monuseg,point,123,monuseg_point_seed123,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.2857142857142857,0.0,0.2857142857142857,-0.013333333333333336,0.5909090909090909,0.09885931558935361,False
monuseg,point,123,monuseg_point_seed123,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.2857142857142857,0.16666666666666666,0.11904761904761904,-0.019647058823529448,0.3945454545454512,0.20172103261957175,False
monuseg,point,123,monuseg_point_seed123,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.16666666666666666,0.09523809523809523,0.07142857142857142,-0.17309782608695648,0.2647058823529412,0.556,False
monuseg,prototype,42,monuseg_proto_seed42,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.38095238095238093,0.0,0.38095238095238093,0.11362564322469983,0.5714285714285714,0.0096,True
