dataset,model,feature_family,n_features,cv_mode,folds_used,recall_at_10,precision_at_10,captured,positives
MoNuSeg,Point,Global,5,group_kfold,5,0.40476190476190477,1.0,17,42
MoNuSeg,Point,Boundary,5,group_kfold,5,0.40476190476190477,1.0,17,42
MoNuSeg,Point,Cluster,5,group_kfold,5,0.40476190476190477,1.0,17,42
MoNuSeg,Point,Topology,11,group_kfold,5,0.40476190476190477,1.0,17,42
MoNuSeg,Point,Morphology,2,group_kfold,5,0.38095238095238093,0.9411764705882353,16,42
MoNuSeg,Point,All SFRM,23,group_kfold,5,0.40476190476190477,1.0,17,42
MoNuSeg,Prototype,Global,5,group_kfold,5,0.2857142857142857,0.7058823529411765,12,42
MoNuSeg,Prototype,Boundary,5,group_kfold,5,0.40476190476190477,1.0,17,42
MoNuSeg,Prototype,Cluster,5,group_kfold,5,0.38095238095238093,0.9411764705882353,16,42
MoNuSeg,Prototype,Topology,11,group_kfold,5,0.16666666666666666,0.4117647058823529,7,42
MoNuSeg,Prototype,Morphology,2,group_kfold,5,0.14285714285714285,0.35294117647058826,6,42
MoNuSeg,Prototype,All SFRM,23,group_kfold,5,0.38095238095238093,0.9411764705882353,16,42
CoNSeP,Point,Global,5,group_kfold,5,0.24603174603174602,0.6078431372549019,31,126
CoNSeP,Point,Boundary,5,group_kfold,5,0.23809523809523808,0.5882352941176471,30,126
CoNSeP,Point,Cluster,5,group_kfold,5,0.24603174603174602,0.6078431372549019,31,126
CoNSeP,Point,Topology,11,group_kfold,5,0.25396825396825395,0.6274509803921569,32,126
CoNSeP,Point,Morphology,2,group_kfold,5,0.1984126984126984,0.49019607843137253,25,126
CoNSeP,Point,All SFRM,23,group_kfold,5,0.1984126984126984,0.49019607843137253,25,126
CoNSeP,Prototype,Global,5,group_kfold,5,0.14285714285714285,0.35294117647058826,18,126
CoNSeP,Prototype,Boundary,5,group_kfold,5,0.29365079365079366,0.7254901960784313,37,126
CoNSeP,Prototype,Cluster,5,group_kfold,5,0.19047619047619047,0.47058823529411764,24,126
CoNSeP,Prototype,Topology,11,group_kfold,5,0.21428571428571427,0.5294117647058824,27,126
CoNSeP,Prototype,Morphology,2,group_kfold,5,0.031746031746031744,0.0784313725490196,4,126
CoNSeP,Prototype,All SFRM,23,group_kfold,5,0.31746031746031744,0.7843137254901961,40,126
